Question ID,Question,Subcategory,Difficulty,Expected Source
PLCMT-001,"What was the highest CTC offered during the 2024-25 placement drive?",Statistics,Easy,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-002,"How many total offers were made in the recent placement season?",Statistics,Easy,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-003,"What is the median CTC for the university?",Statistics,Easy,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-004,"What is the average CTC for the top 50 students?",Statistics,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-005,"What was the highest monthly stipend offered for an internship?",Statistics,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-006,"How many companies visited the campus for the 2024-25 drive?",Statistics,Easy,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-007,"Is the average stipend more than 30,000 INR?",Statistics,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-008,"What is the difference between the average top 50 and average top 100 CTC?",Statistics,Hard,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-009,"Where can I find the IPRS audit reports for UG placements?",Statistics,Medium,placement_cell.md
PLCMT-010,"Did Google open a placement drive at the campus recently?",Recruiters,Easy,da_iict_extends_its_record_of_excellent_placements_google_opens_the_drive_for_the_first_time.md
PLCMT-011,"Which four major tech companies shared the first day slot?",Recruiters,Medium,da_iict_extends_its_record_of_excellent_placements_google_opens_the_drive_for_the_first_time.md
PLCMT-012,"Does Microsoft recruit from our campus?",Recruiters,Easy,da_iict_extends_its_record_of_excellent_placements_google_opens_the_drive_for_the_first_time.md
PLCMT-013,"Can you list some startups founded by DAU alumni?",Recruiters,Hard,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-014,"What is the threshold for a Category I company?",Policy,Easy,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-015,"Is an 8 LPA offer considered Category I or Category II?",Policy,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-016,"If I get an Internship + Job (I+J) offer from a Category I company, can I sit for other companies?",Policy,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-017,"I have an internship offer of 6 LPA from a Category II company. What CTC must the next company offer for me to switch?",Policy,Hard,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-018,"Can I reject a Job only (J) offer from a Category I company and continue in the placement drive?",Policy,Hard,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-019,"How many chances do I get to switch if I have an Internship (I) only offer from a Category II company?",Policy,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-020,"What happens if I leave the placement process of a company midway?",Policy,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-021,"Who handles disciplinary issues during the placement process?",Policy,Easy,placement_cell.md
PLCMT-022,"What is the full form of PIAAC?",Policy,Easy,placement_cell.md
PLCMT-023,"Can I accept two Job (J) offers if one of them allows internships elsewhere?",Policy,Hard,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-024,"If I get an offer from a Dream Category company, what happens to my previous offers?",Policy,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-025,"Can a student who has already used their switch option apply to a Dream company?",Policy,Hard,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-026,"What is the maximum number of offers I can reject while exercising the switch option?",Policy,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-027,"Are first-year students eligible for final placements?",Eligibility,Easy,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-028,"Can M.Sc. Data Science students sit for the same companies as B.Tech ICT students?",Eligibility,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-029,"What are the four B.Tech programs eligible for placements?",Eligibility,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-030,"Are M.Des students eligible for placements?",Eligibility,Easy,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-031,"What is the rural internship requirement for B.Tech students?",Eligibility,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-032,"How long is the summer internship for pre-final year students?",Eligibility,Easy,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-033,"What is the first step in the 8-step placement process?",Process,Medium,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md
PLCMT-034,"Who is the Head of Career Planning, Placement & Marketing?",Team,Easy,placement_cell.md
