Question ID,Question,Subcategory,Difficulty,Expected Source
SP001,"Is there a concept of official leave for students at DA-IICT?",Leave Policies,Easy,student_leave_policy
SP002,"What must students adhere to instead of having a formal leave system?",Leave Policies,Easy,student_leave_policy
SP003,"If I've been absent for 3 or more consecutive weeks, what option do I have?",Leave Policies,Medium,student_leave_policy
SP004,"Who do I apply to if I want to opt for semester withdrawal after being absent 3+ weeks?",Leave Policies,Medium,student_leave_policy
SP005,"If I've been absent for 3+ consecutive weeks and I don't opt for withdrawal, do I get any relaxation on continuous evaluation marks?",Leave Policies,Hard,student_leave_policy
SP006,"I missed an exam because of a family death. Where do I apply?",Leave Policies,Medium,student_leave_policy
SP007,"What are the valid reasons for applying for a missed exam? (illness, accident, death in family)",Leave Policies,Medium,student_leave_policy
SP008,"Within how many days of missing an exam must I submit the leave application?",Leave Policies,Easy,student_leave_policy
SP009,"What documents do I need to provide when applying for a missed exam due to illness?",Leave Policies,Medium,student_leave_policy
SP010,"Can I sit for a re-exam before my leave application is approved?",Leave Policies,Medium,student_leave_policy
SP011,"Who conducts the re-examination or alternate assessment after leave is approved?",Leave Policies,Easy,student_leave_policy
SP012,"What happens if I miss the re-examination too?",Leave Policies,Hard,student_leave_policy
SP013,"From which academic year did the student leave policy become effective?",Leave Policies,Easy,student_leave_policy
SP014,"Where do I collect the leave application proforma from?",Leave Policies,Easy,student_leave_policy
SP015,"Who communicates the schedule for re-examinations?",Leave Policies,Medium,student_leave_policy
SP016,"Who allots rooms to new students in the hostel?",Hostel Rules,Easy,hostel_rules_and_regulations
SP017,"Who has the authority to allot, re-allot, or withdraw hostel accommodation?",Hostel Rules,Medium,hostel_rules_and_regulations
SP018,"Who is eligible for hostel room allotment?",Hostel Rules,Easy,hostel_rules_and_regulations
SP019,"If I stop being a student, how many days do I have to vacate the hostel?",Hostel Rules,Easy,hostel_rules_and_regulations
SP020,"For how many years are UG students guaranteed a hostel room?",Hostel Rules,Medium,hostel_rules_and_regulations
SP021,"What happens if a UG student needs hostel accommodation beyond 4 years?",Hostel Rules,Hard,hostel_rules_and_regulations
SP022,"How many guardian/relative contacts must hostellers from outside Ahmedabad/Gandhinagar provide?",Hostel Rules,Medium,hostel_rules_and_regulations
SP023,"Is alcohol allowed in the hostel or campus?",Hostel Rules,Easy,hostel_rules_and_regulations
SP024,"What law makes alcohol/intoxicants prohibited at DA-IICT?",Hostel Rules,Hard,hostel_rules_and_regulations
SP025,"What is the consequence for possession or consumption of alcohol on campus?",Hostel Rules,Medium,hostel_rules_and_regulations
SP026,"What time must hostellers return to campus by?",Hostel Rules,Easy,hostel_rules_and_regulations
SP027,"During what hours are students not allowed outside campus?",Hostel Rules,Medium,hostel_rules_and_regulations
SP028,"What is the exception for leaving campus between midnight and 6 AM?",Hostel Rules,Medium,hostel_rules_and_regulations
SP029,"What must I do before staying away from the hostel even for one night?",Hostel Rules,Easy,hostel_rules_and_regulations
SP030,"Am I allowed to enter the hostel of the opposite gender?",Hostel Rules,Easy,hostel_rules_and_regulations
SP031,"What is the punishment for changing rooms or exchanging property without Hostel Supervisor approval?",Hostel Rules,Medium,hostel_rules_and_regulations
SP032,"Is ragging considered a criminal offence at DA-IICT?",Hostel Rules,Easy,hostel_rules_and_regulations
SP033,"Who should I contact if I witness or experience ragging?",Hostel Rules,Medium,hostel_rules_and_regulations
SP034,"What is the maximum punishment for ragging?",Hostel Rules,Medium,hostel_rules_and_regulations
SP035,"Is there a dress code for hostellers outside their rooms?",Hostel Rules,Easy,hostel_rules_and_regulations
