Question ID,Question,Expected Source,Retrieved Source,Answer Quality,Pass/Fail,Notes
PLCMT-001,What was the highest CTC offered during the 2024-25 placement drive?,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md,Placement / Placement Cell / PLACEMENT BROCHURE 2025-26 | Newsletter/Jan - Sept 2023 | AnnualReport 2024-25 pdf,Pending Review,Pass,question answered
PLCMT-002,How many total offers were made in the recent placement season?,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md,Placement / Placement Cell / DAU UG Placement Report(2023-2024) | AnnualReport 2018-19 pdf | Placement / Placement Cell / PLACEMENT BROCHURE 2025-26,Pending Review,Pass,question answered
PLCMT-003,What is the median CTC for the university?,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md,Placement / Placement Cell / DAU PG Placement Report(2023-2024) | NAAC / NAAC Cycle 1 | AnnualReport 2024-25 pdf,Pending Review,Fail,Expected source missing from retrieved context.
PLCMT-004,What is the average CTC for the top 50 students?,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md,NAAC / NAAC Cycle 1 | UGC Proforma/Proforma for Inspection by UGC – 2025,Poor,Fail,Source Data Missing
PLCMT-005,What was the highest monthly stipend offered for an internship?,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md,Summer Research Internship at DAU | AnnualReport 2015-16 pdf | Policies/Internship Policy for Sponsored Projects,Pending Review,Fail,Expected source missing from retrieved context.
PLCMT-006,How many companies visited the campus for the 2024-25 drive?,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md,AnnualReport 2024-25 pdf,Pending Review,Fail,Expected source missing from retrieved context.
PLCMT-007,"Is the average stipend more than 30,000 INR?",daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md,UGC Proforma/UGC 12B Proforma | M.Tech. (ICT) - All India Category,Pending Review,Fail,Expected source missing from retrieved context.
PLCMT-008,What is the difference between the average top 50 and average top 100 CTC?,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md,NAAC / NAAC Cycle 1 | BS-MS in Data Science & Artificial Intellifence,Poor,Fail,Source Data Missing
PLCMT-009,Where can I find the IPRS audit reports for UG placements?,placement_cell.md,Placement / Placement Cell / DAU UG Placement Report(2023-2024) | Placement / Placement Cell / DAU PG Placement Report(2023-2024) | UGC Proforma/UGC 12B Proforma,Pending Review,Fail,Expected source missing from retrieved context.
PLCMT-010,Did Google open a placement drive at the campus recently?,da_iict_extends_its_record_of_excellent_placements_google_opens_the_drive_for_the_first_time.md,"DA-IICT extends its record of excellent placements, Google opens the drive for the first time | DA-IICT extends its record of excellent placements, Google opens the drive for the first time | Admissions - M.Sc. (IT)",Pending Review,Pass,question answered
PLCMT-011,Which four major tech companies shared the first day slot?,da_iict_extends_its_record_of_excellent_placements_google_opens_the_drive_for_the_first_time.md,NAAC / NAAC Cycle 1/ Evaluation Report | NAAC / NAAC Cycle 1 | AnnualReport 2024-25 pdf,Poor,Fail,Source Data Missing
PLCMT-012,Does Microsoft recruit from our campus?,da_iict_extends_its_record_of_excellent_placements_google_opens_the_drive_for_the_first_time.md,"DA-IICT extends its record of excellent placements, Google opens the drive for the first time | DA-IICT extends its record of excellent placements, Google opens the drive for the first time | AnnualReport 2018-19 pdf",Pending Review,Pass,question answered
PLCMT-013,Can you list some startups founded by DAU alumni?,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md,Alumni | People / Alumini | People / Alumini / Alumini Newsletter Vol1 No2,Poor,Fail,Source Data Missing
PLCMT-014,What is the threshold for a Category I company?,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md,BS–MS in Information Technology (newly launched) | BS–MS in Data Science & Artificial Intelligence (newly launched) | UGC Proforma/UGC 12B Proforma,Poor,Fail,Source Data Missing
PLCMT-015,Is an 8 LPA offer considered Category I or Category II?,daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md,Placement / Placement Cell / PLACEMENT BROCHURE 2025-26 | UGC Proforma/UGC 12B Proforma,Pending Review,Pass,question answered
PLCMT-016,"If I get an Internship + Job (I+J) offer from a Category I company, can I sit for other companies?",daiict_ac_in_sites_default_files_other_files_placement_brochure_2025_26_pdf.md,Placement / Placement Cell / PLACEMENT BROCHURE 2025-26 | BS–MS in Data Science & Artificial Intelligence (newly launched) | BS–MS in Information Technology (newly launched),Pending Review,Pass,question answered
