Question ID,Question,Expected Source,Retrieved Source,Answer Quality,Pass/Fail,Notes
FAC001,Who are the faculty members at DA-IICT?,data/faculty/regular/faculty_list.md,Why choose DAU (Formerly DA-IICT)? | Main Content > The DAU (Formerly DA-IICT) Edge / Why choose DAU (Formerly DA-IICT)? > High-caliber faculty | https://www.daiict.ac.in/why-choose-da-iict ; Careers/ Faculty on Tenure | Overview | https://www.daiict.ac.in/faculty-tenure ; Dean's Office | Overview | https://www.daiict.ac.in/deans-office,Good,Pass,Answer generated successfully.
FAC002,Where can I find the official faculty list?,data/faculty/regular/faculty_list.md, | Related Links | ,Poor,Fail,Expected source not retrieved.
FAC003,How do I access faculty profiles?,data/faculty/regular/faculty_list.md, | Related Links | ,Poor,Fail,Expected source not retrieved.
FAC004,What information is available in faculty profiles?,data/faculty/regular/faculty_list.md,Adjunct Faculty | Overview | https://www.daiict.ac.in/adjunct-faculty ;  | Related Links | ,Good,Pass,Answer generated successfully.
FAC005,Where is the DA-IICT faculty directory hosted?,data/faculty/regular/faculty_list.md,DA-IICT | DA-IICT (UNKNOWN) > Related Links | https://intranet.daiict.ac.in/academics/Disciplinary guidelines for students.pdf ; DA-IICT | DA-IICT (ITXXX) > Related Links | https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,Poor,Fail,RAG fallback triggered. Missing context.
FAC006,How can I search for a specific faculty member?,data/faculty/regular/faculty_list.md, | Related Links | ,Poor,Fail,Expected source not retrieved.
FAC007,Are faculty contact details publicly available?,data/faculty/regular/faculty_list.md, | Main Content > Message from the Dean (Students) > Contact Details |  ; UGC Proforma/Public Self-Disclosure | UGC Proforma/Public Self-Disclosure > Main Content | https://www.daiict.ac.in/sites/default/files/other-files/Public-Self-Disclosure_2025.pdf ; Gaurav Sharma | Gaurav Sharma > Contact Information | https://www.daiict.ac.in/adjunct-faculty-international/gaurav-sharma,Good,Pass,Answer generated successfully.
FAC008,Where can I find faculty email addresses?,data/faculty/regular/faculty_list.md, | Main Content > Message from the Dean (Students) > Contact Details |  ;  | Related Links | ,Poor,Fail,Expected source not retrieved.
FAC009,Does DA-IICT provide department-wise faculty listing?,data/faculty/regular/faculty_list.md,Careers/ Faculty on Tenure | Faculty Recruitment | https://www.daiict.ac.in/faculty-tenure ; Careers/ Faculty on Tenure | Overview | https://www.daiict.ac.in/faculty-tenure ; Why choose DAU (Formerly DA-IICT)? | Main Content > The DAU (Formerly DA-IICT) Edge / Why choose DAU (Formerly DA-IICT)? > High-caliber faculty | https://www.daiict.ac.in/why-choose-da-iict,Poor,Fail,RAG fallback triggered. Missing context.
FAC010,How is faculty information structured on the website?,data/faculty/regular/faculty_list.md,Course | Course (COURSENAME) > Overview | https://intranet.daiict.ac.in/academics/PC726_MultimodalStorytelling_Winter25 - Jenson Joseph.pdf ; Page 1 of | Page 1 of (ED224) > Overview | https://intranet.daiict.ac.in/academics/ED224_AnalogElectronics_Winter26 - Rutu Parekh.pdf ; MC | MC (HTTPS) > Overview | https://intranet.daiict.ac.in/academics/MC122_ObjectOrientedProgramming_Winter25 - Ankit Vijayvargiya.pdf,Poor,Fail,RAG fallback triggered. Missing context.
