Question ID,Question,Expected Source,Retrieved Source,Answer Quality,Pass/Fail,Notes
ACAD-001,Who is the instructor for MC223?,course_policy_mc223_theory_of_computation_winter24_pdf_-_puneet_bhateja,,Poor,FAIL,HTTP status 502
ACAD-002,What are the rules regarding student leave policy wef ay2021-22?,academic_policy_student_leave_policy_wef_ay2021-22,,Poor,FAIL,HTTP status 502
ACAD-003,What is the grading policy for IT628?,course_policy_it628_system_programming,,Poor,FAIL,HTTP status 502
ACAD-004,Where can I find information about end sem exam schedule winter 2023-24 final version?,academic_policy_end_sem_exam_schedule_winter_2023-24_final_version,,Poor,FAIL,HTTP status 502
ACAD-005,Who is the instructor for IE406?,course_policy_ie406_machine_learning_autumn_2025_page_215,,Poor,FAIL,HTTP status 502
ACAD-006,What are the rules regarding academic requirements ph d program -hss design wef 2024-25 as of july 2024?,academic_policy_academic_requirements_ph_d_program_-hss_design_wef_2024-25_as_of_july_2024,,Poor,FAIL,HTTP status 502
ACAD-007,What are the prerequisites for PC110?,course_policy_pc110_introduction_to_language_and_literature_autumn_2025_page_6,,Poor,FAIL,HTTP status 502
ACAD-008,What are the prerequisites for DS612-INTERACTIVE?,course_policy_ds612-interactive_data_visualization-winter26_-_bhaskar_chaudhury,,Poor,FAIL,HTTP status 502
ACAD-009,Can you explain the policy for winter 2023-24 first in sem exam schedule final version?,academic_policy_winter_2023-24_first_in_sem_exam_schedule_final_version,,Poor,FAIL,HTTP status 502
ACAD-010,Can you explain the policy for academic requirements ph d program enggscience wef 2024-25 as of july 2024?,academic_policy_academic_requirements_ph_d_program_enggscience_wef_2024-25_as_of_july_2024,,Poor,FAIL,HTTP status 502
ACAD-011,What topics are covered in IT314?,course_policy_it314_software_engineering_autumn_2025_page_92,,Poor,FAIL,HTTP status 502
ACAD-012,When are the lectures for HM489?,course_policy_hm489_international_economics_winter26_-_cyril_jos_nazhicheril,,Poor,FAIL,HTTP status 502
ACAD-013,Can you explain the policy for btech ii ict?,academic_policy_btech_ii_ict,,Poor,FAIL,HTTP status 502
ACAD-014,Where can I find information about academic requirements mdes cd wef 2025-26 as of august 2025?,academic_policy_academic_requirements_mdes_cd_wef_2025-26_as_of_august_2025,,Poor,FAIL,HTTP status 502
ACAD-015,Can you explain the policy for academic requirements ph d program -hss design wef 2019-20 as of october 2019?,academic_policy_academic_requirements_ph_d_program_-hss_design_wef_2019-20_as_of_october_2019,,Poor,FAIL,HTTP status 502
ACAD-016,What are the prerequisites for UNKNOWN?,course_policy_unknown_principles_of_economics_autumn_2025_page_111,,Poor,FAIL,HTTP status 502
ACAD-017,Can you explain the policy for student?,academic_policy_student,,Poor,FAIL,HTTP status 502
ACAD-018,When do the mid-semester exams start?,academic_policy_schedule,,Poor,FAIL,HTTP status 502
ACAD-019,Can you explain the policy for medical facilities for students of da ii?,academic_policy_medical_facilities_for_students_of_da_ii,,Poor,FAIL,HTTP status 502
ACAD-020,Can you explain the policy for policy for late registration or course adjustment and fixation of fine?,academic_policy_policy_for_late_registration_or_course_adjustment_and_fixation_of_fine,,Poor,FAIL,HTTP status 502
ACAD-021,How do I apply for a student leave?,academic_policy_student_leave_policy,,Poor,FAIL,HTTP status 502
ACAD-022,What are the rules regarding disciplinary guidelines for students?,academic_policy_disciplinary_guidelines_for_students,,Poor,FAIL,HTTP status 502
ACAD-023,Who is the instructor for UNKNOWN?,course_policy_unknown_foundations_of_machine_learning_autumn_2025_page_318,,Poor,FAIL,HTTP status 502
ACAD-024,Where can I find information about certificate of academic accomplishment?,academic_policy_certificate_of_academic_accomplishment,,Poor,FAIL,HTTP status 502
ACAD-025,Where can I find information about students document service?,academic_policy_students_document_service,,Poor,FAIL,HTTP status 502
ACAD-026,Who is the instructor for MC311MATHEMATICALOPTIMIZATION?,course_policy_unknown_mc311mathematicaloptimization_autumn_2025_page_104,,Poor,FAIL,HTTP status 502
ACAD-027,Can you explain the policy for rules guidelines for conducting written examination for person with benchmark disabilities?,academic_policy_rules_guidelines_for_conducting_written_examination_for_person_with_benchmark_disabilities,,Poor,FAIL,HTTP status 502
ACAD-028,When are the lectures for DS615?,course_policy_ds615_neuralnetworksanddeeplearning_winter25_1_1_-_sourish_dasgupta,,Poor,FAIL,HTTP status 502
ACAD-029,When are the lectures for UNKNOWN?,course_policy_unknown_ds-805_machine_learning_system_engineering_autumn_2025_page_156,,Poor,FAIL,HTTP status 502
ACAD-030,What are the rules regarding academic requirements msc ds wef 2024-25 as of october 2024?,academic_policy_academic_requirements_msc_ds_wef_2024-25_as_of_october_2024,,Poor,FAIL,HTTP status 502
ACAD-031,What topics are covered in HM409-MANAGEMENT-SKILLS-PROFESSIONAL-EXCELLENCE?,course_policy_hm409-management-skills-professional-excellence,,Poor,FAIL,HTTP status 502
ACAD-032,What topics are covered in HMXXX?,course_policy_hmxxx_introduction_to_speculative_fiction_and_films_autumn_2025_page_301,,Poor,FAIL,HTTP status 502
ACAD-033,Can you explain the policy for da-iict student code of conduct and dac guidelines?,academic_policy_da-iict_student_code_of_conduct_and_dac_guidelines,,Poor,FAIL,HTTP status 502
ACAD-034,What are the rules regarding academic requirements m tech ict program wef 2021-22 updated?,academic_policy_academic_requirements_m_tech_ict_program_wef_2021-22_updated,,Poor,FAIL,HTTP status 502
ACAD-035,Where can I find information about examination rules for students?,academic_policy_examination_rules_for_students,,Poor,FAIL,HTTP status 502
ACAD-036,Where can I find information about may?,academic_policy_may,,Poor,FAIL,HTTP status 502
ACAD-037,Where can I find information about appendix - specialization-wise m tech ict course struture from 2024-25?,academic_policy_appendix_-_specialization-wise_m_tech_ict_course_struture_from_2024-25,,Poor,FAIL,HTTP status 502
ACAD-038,What topics are covered in UNKNOWN?,course_policy_unknown_vlsi_circuits_for_dsp_autumn_2025_page_264,,Poor,FAIL,HTTP status 502
ACAD-039,What are the rules regarding academic requirements for the mdes?,academic_policy_academic_requirements_for_the_mdes,,Poor,FAIL,HTTP status 502
ACAD-040,Can you explain the policy for committees t r 2024-25 updated?,academic_policy_committees_t_r_2024-25_updated,,Poor,FAIL,HTTP status 502
ACAD-041,Can you explain the policy for vehicle rules for students?,academic_policy_vehicle_rules_for_students,,Poor,FAIL,HTTP status 502
ACAD-042,Where can I find information about academic requirements for the ph d?,academic_policy_academic_requirements_for_the_ph_d,,Poor,FAIL,HTTP status 502
ACAD-043,What are the rules regarding academic requirements pg programs updated as of august 2016?,academic_policy_academic_requirements_pg_programs_updated_as_of_august_2016,,Poor,FAIL,HTTP status 502
ACAD-044,Can you explain the policy for examination rules cum guidelines for phy?,academic_policy_examination_rules_cum_guidelines_for_phy,,Poor,FAIL,HTTP status 502
ACAD-045,Can you explain the policy for appendix i?,academic_policy_appendix_i,,Poor,FAIL,HTTP status 502
ACAD-046,Can you explain the policy for schedule for winter 2024-25 end semester exams final version?,academic_policy_schedule_for_winter_2024-25_end_semester_exams_final_version,,Poor,FAIL,HTTP status 502
ACAD-047,What topics are covered in SC421-INTRODUCTION?,course_policy_sc421-introduction_to_modern_algebra_-_gautam_dutta,,Poor,FAIL,HTTP status 502
ACAD-048,Can you explain the policy for academic requirements m tech ec program wef 2022-23?,academic_policy_academic_requirements_m_tech_ec_program_wef_2022-23,,Poor,FAIL,HTTP status 502
