Question ID,Question,Subcategory,Difficulty,Expected Source
ALU001,Does DA-IICT have an alumni network?,Alumni Overview,Easy,alumni
ALU002,How does DA-IICT engage with alumni?,Alumni Engagement,Easy,newsletter
ALU003,Where can I find alumni news?,Alumni News,Easy,newsletter
ALU004,What recent alumni achievements have been highlighted?,Achievements,Medium,achievements
ALU005,Are alumni success stories available?,Achievements,Medium,achievements
ALU006,What alumni events have been organized recently?,Events,Medium,event pages
ALU007,Has any distinguished alumnus visited DA-IICT recently?,Events,Medium,event pages
ALU008,Who is Dr. Ronak Kosti?,Alumni Talk,Medium,event pages
ALU009,Where can I read DA-IICT newsletters?,Newsletter,Easy,newsletter
ALU010,What information is included in the alumni newsletter?,Newsletter,Medium,newsletter
ALU011,How can alumni contribute news or updates?,Contributions,Easy,google form
ALU012,Can alumni share achievements with the institute?,Contributions,Easy,google form
ALU013,What is the Alumni Data Privacy Policy?,Privacy Policy,Easy,data-privacy-policy
ALU014,How is alumni data protected?,Privacy Policy,Medium,data-privacy-policy
ALU015,What alumni activities are mentioned in annual reports?,Annual Reports,Medium,annual reports
ALU016,Where can I access DA-IICT annual reports?,Annual Reports,Easy,annual reports
ALU017,How does DA-IICT maintain relationships with alumni?,Alumni Relations,Medium,multiple sources
ALU018,What alumni accomplishments have been recognized by DA-IICT?,Achievements,Medium,achievements
ALU019,Are alumni involved in institute events?,Events,Medium,event pages
ALU020,How can alumni stay connected with DA-IICT?,Alumni Engagement,Easy,multiple sources
ALU021,Can alumni participate in institute activities?,Alumni Engagement,Medium,multiple sources
ALU022,What alumni success stories are featured by DA-IICT?,Achievements,Medium,news pages
ALU023,How frequently is alumni information updated?,Newsletter,Medium,newsletter
ALU024,What opportunities exist for alumni contributions?,Contributions,Medium,google form
ALU025,What distinguished alumni interactions have taken place?,Events,Medium,event pages
ALU026,What role do alumni play in the DA-IICT community?,Alumni Relations,Medium,multiple sources
ALU027,How can alumni submit photographs or updates?,Contributions,Easy,google form
ALU028,Where can I find information about alumni achievements?,Achievements,Easy,achievements
ALU029,What alumni-related information is publicly available?,Alumni Overview,Medium,multiple sources
ALU030,What resources are available for DA-IICT alumni?,Alumni Resources,Medium,multiple sources
