Question ID,Question,Expected Source,Retrieved Source,Answer Quality,Pass/Fail,Notes
Q001,Who is the Dean of Students at DAU?,data/student_services/dean_students.md, |  | Overview,Good,Pass,Answer generated successfully.
Q002,What is the email address of the Dean of Students office?,data/student_services/dean_students.md, |  | Officials,Good,Pass,Answer generated successfully.
Q003,What is the phone number of the Executive Assistant to the Dean of Students?,data/student_services/dean_students.md, |  | Officials,Good,Pass,Answer generated successfully.
Q004,Who is the Executive Assistant to the Dean of Students?,data/student_services/dean_students.md, |  | Officials,Good,Pass,Answer generated successfully.
Q005,What does the Dean of Students oversee at DAU?,data/student_services/dean_students.md, |  | Overview,Good,Pass,Answer generated successfully.
Q006,How many student committees are there under the SBG?,data/student_services/dean_students.md, |  | SBG Core Team,Good,Pass,Answer generated successfully.
Q007,How many student clubs are there under the SBG?,data/student_services/dean_students.md, |  | SBG Core Team,Good,Pass,Answer generated successfully.
Q008,What does SBG stand for?,data/student_services/dean_students.md,Student_services | Students | Student Body Government (SBG),Good,Pass,Answer generated successfully.
Q009,What is the email address of the SBG?,data/student_services/dean_students.md,policies | Students / ANTI-RAGGING Committees & Squad Details | Main Content,Good,Pass,Answer generated successfully.
Q010,Who is the Convenor of the SBG?,data/student_services/dean_students.md, |  | SBG Core Team,Good,Pass,Answer generated successfully.
Q011,Who is the Deputy Convenor of the SBG?,data/student_services/dean_students.md, |  | RBG Core Team,Good,Pass,Answer generated successfully.
Q012,Who is the Treasurer of the SBG?,data/student_services/dean_students.md, |  | SBG Core Team,Good,Pass,Answer generated successfully.
Q013,Who is the Secretary of the SBG?,data/student_services/dean_students.md, |  | SBG Core Team,Good,Pass,Answer generated successfully.
Q014,What are the goals of the Student Body Government?,data/student_services/dean_students.md,administration | NAAC / NAAC Cycle 2 | Main Content,Good,Pass,Answer generated successfully.
Q015,What is the RBG and who does it serve?,data/student_services/dean_students.md, |  | Research Body Government (RBG),Good,Pass,Answer generated successfully.
Q016,Who is the Convenor of the RBG?,data/student_services/dean_students.md, |  | RBG Core Team,Good,Pass,Answer generated successfully.
Q017,What is the email address of the RBG?,data/student_services/dean_students.md, |  | Research Body Government (RBG),Good,Pass,Answer generated successfully.
Q018,List all 8 student committees at DAU.,data/student_services/dean_students.md, |  | Overview,Poor,Fail,RAG fallback triggered (data missing or ambiguous).
Q019,What does the Academic Committee do?,data/student_services/dean_students.md,Student_services | Students | Academic Committee,Good,Pass,Answer generated successfully.
Q020,Who is the Convenor of the Academic Committee?,data/student_services/dean_students.md, |  | Academic Committee,Good,Pass,Answer generated successfully.
Q021,What is the email address of the Academic Committee?,data/student_services/dean_students.md, |  | Academic Committee,Good,Pass,Answer generated successfully.
Q022,What events does the Annual Festival Committee organize?,data/student_services/dean_students.md, |  | Annual Festival Committee,Good,Pass,Answer generated successfully.
Q023,Who is the Convenor of the Annual Festival Committee?,data/student_services/dean_students.md, |  | Annual Festival Committee,Good,Pass,Answer generated successfully.
Q024,What is the email address of the Annual Festival Committee / Synapse?,data/student_services/dean_students.md, |  | Annual Festival Committee,Good,Pass,Answer generated successfully.
Q025,What is the Cafeteria Management Committee (CMC) responsible for?,data/student_services/dean_students.md, |  | Cafeteria Management Committee (CMC),Good,Pass,Answer generated successfully.
Q026,Who is the Convenor of the CMC?,data/student_services/dean_students.md, |  | Cafeteria Management Committee (CMC),Good,Pass,Answer generated successfully.
Q027,What is the email of the CMC?,data/student_services/dean_students.md,Student_services | Students | Cafeteria Management Committee,Good,Pass,Answer generated successfully.
Q028,What does the Cultural Committee do?,data/student_services/dean_students.md, |  | Cultural Committee,Good,Pass,Answer generated successfully.
Q029,Who is the Convenor of the Cultural Committee?,data/student_services/dean_students.md, |  | Cultural Committee,Good,Pass,Answer generated successfully.
Q030,What is the email of the Cultural Committee?,data/student_services/dean_students.md, |  | Cultural Committee,Good,Pass,Answer generated successfully.
Q031,What is the Hostel Management Committee (HMC) responsible for?,data/student_services/dean_students.md, |  | Hostel Management Committee (HMC),Good,Pass,Answer generated successfully.
Q032,Who is the Convenor of the HMC?,data/student_services/dean_students.md, |  | Hostel Management Committee (HMC),Good,Pass,Answer generated successfully.
Q033,What is the email of the HMC?,data/student_services/dean_students.md,Academics | DA-IICT | Important Information,Good,Pass,Answer generated successfully.
Q034,What does the TechSupport Committee handle?,data/student_services/dean_students.md, |  | TechSupport Committee,Good,Pass,Answer generated successfully.
Q035,Who is the Convenor of the TechSupport Committee?,data/student_services/dean_students.md, |  | TechSupport Committee,Good,Pass,Answer generated successfully.
Q036,What is the email of the TechSupport Committee?,data/student_services/dean_students.md, |  | TechSupport Committee,Good,Pass,Answer generated successfully.
Q037,What flagship events does the Sports Committee organize?,data/student_services/dean_students.md, |  | Sports Committee,Good,Pass,Answer generated successfully.
Q038,Who is the Convenor of the Sports Committee?,data/student_services/dean_students.md, |  | Sports Committee,Good,Pass,Answer generated successfully.
Q039,What is the email of the Sports Committee?,data/student_services/dean_students.md,Student_services | Students | Sports Committee,Good,Pass,Answer generated successfully.
Q040,What is the Student Placement Cell (SPC) responsible for?,data/student_services/dean_students.md, |  | Student Placement Cell (SPC),Good,Pass,Answer generated successfully.
