Question ID,Question,Expected Source,Retrieved Source,Answer Quality,Pass/Fail,Notes
Q001,What are the disciplinary rules for students at DAU?,disciplinary_rules.md,disciplinary_rules.md,Good,Pass,
Q002,What constitutes an act of indiscipline at DAU?,punishment_for_act_of_indiscipline.md,punishment_for_act_of_indiscipline.md,Good,Pass,
Q003,What is the punishment for ragging at DAU?,anti_ragging_committee.md,anti_ragging_committee.md,Good,Pass,
Q004,Who are the members of the Anti-Ragging Committee 2025-26?,anti_ragging_committee.md,anti_ragging_committee.md,Good,Pass,
Q005,How do I report a ragging incident at DAU?,anti_ragging_committee.md,anti_ragging_committee.md,Good,Pass,
Q006,What is the National Anti-Ragging Helpline number?,anti_ragging_committee.md,anti_ragging_committee.md,Good,Pass,
Q007,What are the disciplinary guidelines for students regarding academic misconduct?,disciplinary_guidelines_for_students.md,disciplinary_guidelines_for_students.md,Good,Pass,
Q008,Can a student be expelled for plagiarism at DAU?,plagiarism_prevention_framework.md,plagiarism_prevention_framework.md,Good,Pass,
Q009,What is the plagiarism prevention framework at DAU?,plagiarism_prevention_framework.md,plagiarism_prevention_framework.md,Good,Pass,
Q010,What software does DAU use to detect plagiarism?,plagiarism_prevention_framework.md,plagiarism_prevention_framework.md,Good,Pass,
Q011,How do I file a grievance as a student at DAU?,grievance_redressal_cell.md,grievance_redressal_cell.md,Good,Pass,
Q012,What is the Grievance Redressal Cell at DAU?,grievance_redressal_cell.md,grievance_redressal_cell.md,Good,Pass,
Q013,Who is the Grievance Redressal Authority for students?,table_1_grievance_redressal_students.md,table_1_grievance_redressal_students.md,Good,Pass,
Q014,Who is the Grievance Redressal Authority for faculty?,table_2_grievance_redressal_faculty.md,table_2_grievance_redressal_faculty.md,Good,Pass,
Q015,Who is the Grievance Redressal Authority for staff?,table_3_grievance_redressal_staff.md,table_3_grievance_redressal_staff.md,Good,Pass,
Q016,What is the timeline for resolving a student grievance at DAU?,grievance_redressal_cell.md,grievance_redressal_cell.md,Good,Pass,
Q017,Can a student appeal a grievance decision at DAU?,grievance_redressal_cell.md,grievance_redressal_cell.md,Good,Pass,
Q018,What is DAU's policy against sexual harassment?,dau_policy_against_sexual_harassment.md,dau_policy_against_sexual_harassment.md,Good,Pass,
Q019,Who are the members of the Internal Complaints Committee (ICC) at DAU?,dau_policy_against_sexual_harassment.md,dau_policy_against_sexual_harassment.md,Good,Pass,
Q020,How do I report sexual harassment at DAU?,dau_policy_against_sexual_harassment.md,dau_policy_against_sexual_harassment.md,Good,Pass,
Q021,What is the POSH Act and how does it apply at DAU?,dau_policy_against_sexual_harassment.md,dau_policy_against_sexual_harassment.md,Good,Pass,
