Question ID,Question,Subcategory,Difficulty,Expected Source,RAG Answer (top_k=1),Retrieval Status,Answer Correctness,Pass/Fail,Failure Reason,Notes
Q001,Who is the Dean of Students at DAU?,Dean of Students,Easy,data/student_services/dean_students.md,Dr. P S Kalyan Sasidhar is the Dean of Students at DAU.,Retrieved,Correct,PASS,,Source: dean_students.md correctly identifies Dr. P S Kalyan Sasidhar
Q002,What is the email address of the Dean of Students office?,Dean of Students,Easy,data/student_services/dean_students.md,"dean_students[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Email correctly obfuscated per system prompt
Q003,What is the phone number of the Executive Assistant to the Dean of Students?,Dean of Students,Easy,data/student_services/dean_students.md,"(+91) 079-68261741, Extn: 741",Retrieved,Correct,PASS,,Contact details of Mr. Mrigankshekhar Mahapatra available
Q004,Who is the Executive Assistant to the Dean of Students?,Dean of Students,Easy,data/student_services/dean_students.md,Mr. Mrigankshekhar Mahapatra,Retrieved,Correct,PASS,,Clearly listed in dean_students.md
Q005,What does the Dean of Students oversee at DAU?,Dean of Students,Medium,data/student_services/dean_students.md,"Extra-curricular activities, 8 committees, 22 student clubs, hostel management, and disciplinary matters",Retrieved,Correct,PASS,,Overview section of dean_students.md covers this fully
Q006,How many student committees are there under the SBG?,Student Body Government,Easy,data/student_services/dean_students.md,8 student committees,Retrieved,Correct,PASS,,Explicitly stated: "8 committees and 22 hobby-driven clubs"
Q007,How many student clubs are there under the SBG?,Student Body Government,Easy,data/student_services/dean_students.md,22 student clubs,Retrieved,Correct,PASS,,Explicitly stated in dean_students.md
Q008,What does SBG stand for?,Student Body Government,Easy,data/student_services/dean_students.md,Student Body Government,Retrieved,Correct,PASS,,Clearly stated in dean_students.md
Q009,What is the email address of the SBG?,Student Body Government,Easy,data/student_services/dean_students.md,"sbg[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Email correctly listed and obfuscated
Q010,Who is the Convenor of the SBG?,Student Body Government,Easy,data/student_services/dean_students.md,Yash Judal,Retrieved,Correct,PASS,,SBG Core Team table in dean_students.md
Q011,Who is the Deputy Convenor of the SBG?,Student Body Government,Easy,data/student_services/dean_students.md,Dev Sanghani,Retrieved,Correct,PASS,,SBG Core Team table in dean_students.md
Q012,Who is the Treasurer of the SBG?,Student Body Government,Easy,data/student_services/dean_students.md,Madhav Bhatt,Retrieved,Correct,PASS,,SBG Core Team table in dean_students.md
Q013,Who is the Secretary of the SBG?,Student Body Government,Easy,data/student_services/dean_students.md,Siddh Shah,Retrieved,Correct,PASS,,SBG Core Team table in dean_students.md
Q014,What are the goals of the Student Body Government?,Student Body Government,Medium,data/student_services/dean_students.md,"Monitoring and regulation of all student activities; Ensuring justice and equality; Enhancing overall development of all students",Retrieved,Correct,PASS,,Three goals explicitly listed in SBG section
Q015,What is the RBG and who does it serve?,Research Body Government,Medium,data/student_services/dean_students.md,"A semi-autonomous representative body for PhD students of DAU SoT and SoL, safeguarding academic, professional, and personal well-being",Retrieved,Correct,PASS,,RBG section in dean_students.md is comprehensive
Q016,Who is the Convenor of the RBG?,Research Body Government,Easy,data/student_services/dean_students.md,Bhavin Makwana,Retrieved,Correct,PASS,,RBG Core Team table in dean_students.md
Q017,What is the email address of the RBG?,Research Body Government,Easy,data/student_services/dean_students.md,"rbg[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Clearly listed under RBG section
Q018,List all 8 student committees at DAU.,Student Committees,Medium,data/student_services/dean_students.md,"Academic Committee, Annual Festival Committee, Cafeteria Management Committee (CMC), Cultural Committee, Hostel Management Committee (HMC), TechSupport Committee, Sports Committee, Student Placement Cell (SPC)",Retrieved,Correct,PASS,,All 8 committees listed under Student Committees section
Q019,What does the Academic Committee do?,Student Committees,Medium,data/student_services/dean_students.md,"Works as an interface between student community and institute administration for development of academic environment and enhancement of academic life at DAU",Retrieved,Correct,PASS,,Academic Committee section in dean_students.md
Q020,Who is the Convenor of the Academic Committee?,Student Committees,Easy,data/student_services/dean_students.md,Zeel Ghori,Retrieved,Correct,PASS,,Listed in Academic Committee section
Q021,What is the email address of the Academic Committee?,Student Committees,Easy,data/student_services/dean_students.md,"sbg_academics[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Academic Committee section
Q022,What events does the Annual Festival Committee organize?,Student Committees,Medium,data/student_services/dean_students.md,"Synapse (largest annual Techno-Cultural Fest of Gujarat), HackOut (Hackathon), YouthRun (Marathon)",Retrieved,Correct,PASS,,Annual Festival Committee section covers these events
Q023,Who is the Convenor of the Annual Festival Committee?,Student Committees,Easy,data/student_services/dean_students.md,Rishabh Jain,Retrieved,Correct,PASS,,Listed in Annual Festival Committee section
Q024,What is the email address of the Annual Festival Committee / Synapse?,Student Committees,Easy,data/student_services/dean_students.md,"synapse[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Annual Festival Committee section
Q025,What is the Cafeteria Management Committee (CMC) responsible for?,Student Committees,Medium,data/student_services/dean_students.md,"Addresses cafeteria-related issues, conducts regular inspections, ensures proper hygienic standards, and works as an intermediary between students and administration",Retrieved,Correct,PASS,,CMC section in dean_students.md
Q026,Who is the Convenor of the CMC?,Student Committees,Easy,data/student_services/dean_students.md,Yug Tejani,Retrieved,Correct,PASS,,Listed in CMC section
Q027,What is the email of the CMC?,Student Committees,Easy,data/student_services/dean_students.md,"cmc[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in CMC section
Q028,What does the Cultural Committee do?,Student Committees,Medium,data/student_services/dean_students.md,"Organizes events for cultural expression, festivals, and talent showcases, keeping the culture of DAU alive",Retrieved,Correct,PASS,,Cultural Committee section in dean_students.md
Q029,Who is the Convenor of the Cultural Committee?,Student Committees,Easy,data/student_services/dean_students.md,Ansh Garg,Retrieved,Correct,PASS,,Listed in Cultural Committee section
Q030,What is the email of the Cultural Committee?,Student Committees,Easy,data/student_services/dean_students.md,"cultural[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Cultural Committee section
