Question ID,Question,Expected Source,Retrieved Source,Answer Quality,Pass/Fail,Notes
Q001,Who is the Dean of Students at DAU?,data/student_services/dean_students.md,dean_students_v2.md (score=0.715),Good,Pass,Correct source retrieved and answer generated.
Q002,What is the email address of the Dean of Students office?,data/student_services/dean_students.md,faculty_profile_kalyan_sasidhar.md (score=0.663),Good,Pass,Correct source retrieved and answer generated.
Q003,What is the phone number of the Executive Assistant to the Dean of Students?,data/student_services/dean_students.md,dean_s_office.md (score=0.681),Poor,Fail,Wrong source retrieved; answer generated but may be incorrect.
Q004,Who is the Executive Assistant to the Dean of Students?,data/student_services/dean_students.md,dean_students_v2.md (score=0.541),Good,Pass,Correct source retrieved and answer generated.
Q005,What does the Dean of Students oversee at DAU?,data/student_services/dean_students.md,dean_faculty.md (score=0.764),Good,Pass,Correct source retrieved and answer generated.
Q006,How many student committees are there under the SBG?,data/student_services/dean_students.md,daiict_ac_in_sites_default_files_other_files_naac_cycle_2_ssr_submitted_2023_pdf.md (score=0.705),Good,Pass,Correct source retrieved and answer generated.
Q007,How many student clubs are there under the SBG?,data/student_services/dean_students.md,dean_students_tab.md (score=0.682),Good,Pass,Correct source retrieved and answer generated.
Q008,What does SBG stand for?,data/student_services/dean_students.md,dean_students_tab.md (score=0.602),Good,Pass,Correct source retrieved and answer generated.
Q009,What is the email address of the SBG?,data/student_services/dean_students.md,adjunct_faculty_kuntala_dasgupta.md (score=0.551),Poor,Fail,Wrong source retrieved; answer generated but may be incorrect.
Q010,Who is the Convenor of the SBG?,data/student_services/dean_students.md,daiict_ac_in_sites_default_files_other_files_naac_cycle_2_ssr_submitted_2023_pdf.md (score=0.589),Good,Pass,Correct source retrieved and answer generated.
Q011,Who is the Deputy Convenor of the SBG?,data/student_services/dean_students.md,daiict_ac_in_sites_default_files_other_files_naac_cycle_2_ssr_submitted_2023_pdf.md (score=0.551),Good,Pass,Correct source retrieved and answer generated.
Q012,Who is the Treasurer of the SBG?,data/student_services/dean_students.md,dean_students_tab.md (score=0.559),Good,Pass,Correct source retrieved and answer generated.
Q013,Who is the Secretary of the SBG?,data/student_services/dean_students.md,daiict_ac_in_sites_default_files_other_files_naac_cycle_2_ssr_submitted_2023_pdf.md (score=0.565),Good,Pass,Correct source retrieved and answer generated.
Q014,What are the goals of the Student Body Government?,data/student_services/dean_students.md,daiict_ac_in_sites_default_files_other_files_naac_cycle_2_ssr_submitted_2023_pdf.md (score=0.725),Good,Pass,Correct source retrieved and answer generated.
Q015,What is the RBG and who does it serve?,data/student_services/dean_students.md,daiict_campus_bird_count.md (score=0.473),Good,Pass,Correct source retrieved and answer generated.
Q016,Who is the Convenor of the RBG?,data/student_services/dean_students.md,dean_students_tab.md (score=0.613),Good,Pass,Correct source retrieved and answer generated.
Q017,What is the email address of the RBG?,data/student_services/dean_students.md,adjunct_faculty_kuntala_dasgupta.md (score=0.562),Good,Pass,Correct source retrieved and answer generated.
Q018,List all 8 student committees at DAU.,data/student_services/dean_students.md,dean_students_v2.md (score=0.639),Good,Pass,Correct source retrieved and answer generated.
Q019,What does the Academic Committee do?,data/student_services/dean_students.md,dean_students_tab.md (score=0.769),Good,Pass,Correct source retrieved and answer generated.
Q020,Who is the Convenor of the Academic Committee?,data/student_services/dean_students.md,academic_council.md (score=0.593),Poor,Fail,Wrong source retrieved; answer generated but may be incorrect.
Q021,What is the email address of the Academic Committee?,data/student_services/dean_students.md,intl_adjunct_faculty_gaurav_sharma.md (score=0.610),Poor,Fail,Wrong source retrieved; answer generated but may be incorrect.
Q022,What events does the Annual Festival Committee organize?,data/student_services/dean_students.md,dean_students_tab.md (score=0.679),Good,Pass,Correct source retrieved and answer generated.
Q023,Who is the Convenor of the Annual Festival Committee?,data/student_services/dean_students.md,dean_students_tab.md (score=0.609),Good,Pass,Correct source retrieved and answer generated.
Q024,What is the email address of the Annual Festival Committee / Synapse?,data/student_services/dean_students.md,dean_students_tab.md (score=0.726),Good,Pass,Correct source retrieved and answer generated.
Q025,What is the Cafeteria Management Committee (CMC) responsible for?,data/student_services/dean_students.md,food_court_v2.md (score=0.784),Good,Pass,Correct source retrieved and answer generated.
Q026,Who is the Convenor of the CMC?,data/student_services/dean_students.md,daiict_ac_in_sites_default_files_other_files_dau_policy_against_sexual_harassmen.md (score=0.597),Good,Pass,Correct source retrieved and answer generated.
Q027,What is the email of the CMC?,data/student_services/dean_students.md,examination_department.md (score=0.527),Poor,Fail,Wrong source retrieved; answer generated but may be incorrect.
Q028,What does the Cultural Committee do?,data/student_services/dean_students.md,dean_students_v2.md (score=0.640),Good,Pass,Correct source retrieved and answer generated.
Q029,Who is the Convenor of the Cultural Committee?,data/student_services/dean_students.md,dean_students_tab.md (score=0.652),Good,Pass,Correct source retrieved and answer generated.
Q030,What is the email of the Cultural Committee?,data/student_services/dean_students.md,dean_students_v2.md (score=0.605),Good,Pass,Correct source retrieved and answer generated.
Q031,What is the Hostel Management Committee (HMC) responsible for?,data/student_services/dean_students.md,hostel_rules_and_regulations_v2.md (score=0.797),Good,Pass,Correct source retrieved and answer generated.
Q032,Who is the Convenor of the HMC?,data/student_services/dean_students.md,academic_council.md (score=0.539),Good,Pass,Correct source retrieved and answer generated.
Q033,What is the email of the HMC?,data/student_services/dean_students.md,research_dean_s_office.md (score=0.558),Poor,Fail,Wrong source retrieved; answer generated but may be incorrect.
Q034,What does the TechSupport Committee handle?,data/student_services/dean_students.md,dean_students_tab.md (score=0.786),Good,Pass,Correct source retrieved and answer generated.
Q035,Who is the Convenor of the TechSupport Committee?,data/student_services/dean_students.md,dean_students_tab.md (score=0.733),Good,Pass,Correct source retrieved and answer generated.
Q036,What is the email of the TechSupport Committee?,data/student_services/dean_students.md,dean_students_tab.md (score=0.737),Good,Pass,Correct source retrieved and answer generated.
Q037,What flagship events does the Sports Committee organize?,data/student_services/dean_students.md,dean_students_v2.md (score=0.586),Good,Pass,Correct source retrieved and answer generated.
Q038,Who is the Convenor of the Sports Committee?,data/student_services/dean_students.md,daiict_ac_in_sites_default_files_other_files_annual_report_2022_23_pdf.md (score=0.659),Poor,Fail,Wrong source retrieved; answer generated but may be incorrect.
Q039,What is the email of the Sports Committee?,data/student_services/dean_students.md,daiict_ac_in_sites_default_files_other_files_anti_ragging_committee_2025_26_1808.md (score=0.569),Good,Pass,Correct source retrieved and answer generated.
Q040,What is the Student Placement Cell (SPC) responsible for?,data/student_services/dean_students.md,dean_students_tab.md (score=0.799),Good,Pass,Correct source retrieved and answer generated.
Q041,Who is the Convenor of the SPC?,data/student_services/dean_students.md,daiict_ac_in_themes_daiict_images_daiict_ar_2017_18_pdf.md (score=0.584),Poor,Fail,Wrong source retrieved; answer generated but may be incorrect.
Q042,What is the email of the SPC?,data/student_services/dean_students.md,examination_department.md (score=0.534),Poor,Fail,Wrong source retrieved; answer generated but may be incorrect.
Q043,What is the AI Club about and what activities does it organize?,data/student_services/dean_students.md,dean_students_tab.md (score=0.711),Good,Pass,Correct source retrieved and answer generated.
Q044,Who is the Convenor of the AI Club?,data/student_services/dean_students.md,dean_students_tab.md (score=0.642),Good,Pass,Correct source retrieved and answer generated.
Q045,What is the email of the AI Club?,data/student_services/dean_students.md,dean_students_tab.md (score=0.672),Good,Pass,Correct source retrieved and answer generated.
Q046,What publications does the Press Club produce?,data/student_services/dean_students.md,dean_students_tab.md (score=0.635),Good,Pass,Correct source retrieved and answer generated.
Q047,Who is the Convenor of the Press Club?,data/student_services/dean_students.md,dean_students_tab.md (score=0.572),Good,Pass,Correct source retrieved and answer generated.
Q048,What is the email of the Press Club?,data/student_services/dean_students.md,postdoctoral_fellow_position_selc.md (score=0.537),Good,Pass,Correct source retrieved and answer generated.
Q049,What is DebSoc and what events does it organize?,data/student_services/dean_students.md,dean_students_tab.md (score=0.644),Good,Pass,Correct source retrieved and answer generated.
Q050,Who is the Convenor of the Debating Society?,data/student_services/dean_students.md,daiict_ac_in_sites_default_files_other_files_annual_report_2024_25_25326_pdf.md (score=0.571),Good,Pass,Correct source retrieved and answer generated.
Q051,What is the email of the Debating Society?,data/student_services/dean_students.md,dean_students_tab.md (score=0.603),Good,Pass,Correct source retrieved and answer generated.
Q052,What is DADC and what are its notable achievements?,data/student_services/dean_students.md,naac_grade_accreditation.md (score=0.555),Good,Pass,Correct source retrieved and answer generated.
Q053,Who is the Convenor of the Dance Club (DADC)?,data/student_services/dean_students.md,dean_students_tab.md (score=0.693),Good,Pass,Correct source retrieved and answer generated.
Q054,What is the email of the Dance Club?,data/student_services/dean_students.md,faculty_tathagata_bandyopadhyay.md (score=0.542),Poor,Fail,Wrong source retrieved; answer generated but may be incorrect.
Q055,What does the Programming Club do and what competitions does it promote?,data/student_services/dean_students.md,dean_students_tab.md (score=0.669),Good,Pass,Correct source retrieved and answer generated.
Q056,Who is the Convenor of the Programming Club?,data/student_services/dean_students.md,dean_students_v2.md (score=0.593),Good,Pass,Correct source retrieved and answer generated.
Q057,What is the email of the Programming Club?,data/student_services/dean_students.md,ieee_student_branch_members.md (score=0.586),Poor,Fail,Wrong source retrieved; answer generated but may be incorrect.
Q058,What does the Music Club offer to students?,data/student_services/dean_students.md,dean_students_tab.md (score=0.711),Good,Pass,Correct source retrieved and answer generated.
Q059,Who is the Convenor of the Music Club?,data/student_services/dean_students.md,dean_students_tab.md (score=0.598),Good,Pass,Correct source retrieved and answer generated.
Q060,What is the email of the Music Club?,data/student_services/dean_students.md,dean_students_tab.md (score=0.611),Good,Pass,Correct source retrieved and answer generated.
Q061,What type of performances does the DAU Theatres Group do?,data/student_services/dean_students.md,dean_students_tab.md (score=0.659),Good,Pass,Correct source retrieved and answer generated.
Q062,Who is the Convenor of the DAU Theatres Group?,data/student_services/dean_students.md,dau_features_in_the_gujarat_education_guide_published_by_the_indian_express_group.md (score=0.501),Poor,Fail,Wrong source retrieved; answer generated but may be incorrect.
