Question ID,Question,Subcategory,Difficulty,Expected Source
Q001,Who is the Dean of Students at DAU?,Dean of Students,Easy,data/student_services/dean_students.md
Q002,What is the email address of the Dean of Students office?,Dean of Students,Easy,data/student_services/dean_students.md
Q003,What is the phone number of the Executive Assistant to the Dean of Students?,Dean of Students,Easy,data/student_services/dean_students.md
Q004,Who is the Executive Assistant to the Dean of Students?,Dean of Students,Easy,data/student_services/dean_students.md
Q005,What does the Dean of Students oversee at DAU?,Dean of Students,Medium,data/student_services/dean_students.md
Q006,How many student committees are there under the SBG?,Student Body Government,Easy,data/student_services/dean_students.md
Q007,How many student clubs are there under the SBG?,Student Body Government,Easy,data/student_services/dean_students.md
Q008,What does SBG stand for?,Student Body Government,Easy,data/student_services/dean_students.md
Q009,What is the email address of the SBG?,Student Body Government,Easy,data/student_services/dean_students.md
Q010,Who is the Convenor of the SBG?,Student Body Government,Easy,data/student_services/dean_students.md
Q011,Who is the Deputy Convenor of the SBG?,Student Body Government,Easy,data/student_services/dean_students.md
Q012,Who is the Treasurer of the SBG?,Student Body Government,Easy,data/student_services/dean_students.md
Q013,Who is the Secretary of the SBG?,Student Body Government,Easy,data/student_services/dean_students.md
Q014,What are the goals of the Student Body Government?,Student Body Government,Medium,data/student_services/dean_students.md
Q015,What is the RBG and who does it serve?,Research Body Government,Medium,data/student_services/dean_students.md
Q016,Who is the Convenor of the RBG?,Research Body Government,Easy,data/student_services/dean_students.md
Q017,What is the email address of the RBG?,Research Body Government,Easy,data/student_services/dean_students.md
Q018,List all 8 student committees at DAU.,Student Committees,Medium,data/student_services/dean_students.md
Q019,What does the Academic Committee do?,Student Committees,Medium,data/student_services/dean_students.md
Q020,Who is the Convenor of the Academic Committee?,Student Committees,Easy,data/student_services/dean_students.md
Q021,What is the email address of the Academic Committee?,Student Committees,Easy,data/student_services/dean_students.md
Q022,What events does the Annual Festival Committee organize?,Student Committees,Medium,data/student_services/dean_students.md
Q023,Who is the Convenor of the Annual Festival Committee?,Student Committees,Easy,data/student_services/dean_students.md
Q024,What is the email address of the Annual Festival Committee / Synapse?,Student Committees,Easy,data/student_services/dean_students.md
Q025,What is the Cafeteria Management Committee (CMC) responsible for?,Student Committees,Medium,data/student_services/dean_students.md
Q026,Who is the Convenor of the CMC?,Student Committees,Easy,data/student_services/dean_students.md
Q027,What is the email of the CMC?,Student Committees,Easy,data/student_services/dean_students.md
Q028,What does the Cultural Committee do?,Student Committees,Medium,data/student_services/dean_students.md
Q029,Who is the Convenor of the Cultural Committee?,Student Committees,Easy,data/student_services/dean_students.md
Q030,What is the email of the Cultural Committee?,Student Committees,Easy,data/student_services/dean_students.md
Q031,What is the Hostel Management Committee (HMC) responsible for?,Student Committees,Medium,data/student_services/dean_students.md
Q032,Who is the Convenor of the HMC?,Student Committees,Easy,data/student_services/dean_students.md
Q033,What is the email of the HMC?,Student Committees,Easy,data/student_services/dean_students.md
Q034,What does the TechSupport Committee handle?,Student Committees,Medium,data/student_services/dean_students.md
Q035,Who is the Convenor of the TechSupport Committee?,Student Committees,Easy,data/student_services/dean_students.md
Q036,What is the email of the TechSupport Committee?,Student Committees,Easy,data/student_services/dean_students.md
Q037,What flagship events does the Sports Committee organize?,Student Committees,Medium,data/student_services/dean_students.md
Q038,Who is the Convenor of the Sports Committee?,Student Committees,Easy,data/student_services/dean_students.md
Q039,What is the email of the Sports Committee?,Student Committees,Easy,data/student_services/dean_students.md
Q040,What is the Student Placement Cell (SPC) responsible for?,Student Committees,Medium,data/student_services/dean_students.md
Q041,Who is the Convenor of the SPC?,Student Committees,Easy,data/student_services/dean_students.md
Q042,What is the email of the SPC?,Student Committees,Easy,data/student_services/dean_students.md
Q043,What is the AI Club about and what activities does it organize?,Student Clubs,Medium,data/student_services/dean_students.md
Q044,Who is the Convenor of the AI Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q045,What is the email of the AI Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q046,What publications does the Press Club produce?,Student Clubs,Medium,data/student_services/dean_students.md
Q047,Who is the Convenor of the Press Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q048,What is the email of the Press Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q049,What is DebSoc and what events does it organize?,Student Clubs,Medium,data/student_services/dean_students.md
Q050,Who is the Convenor of the Debating Society?,Student Clubs,Easy,data/student_services/dean_students.md
Q051,What is the email of the Debating Society?,Student Clubs,Easy,data/student_services/dean_students.md
Q052,What is DADC and what are its notable achievements?,Student Clubs,Medium,data/student_services/dean_students.md
Q053,Who is the Convenor of the Dance Club (DADC)?,Student Clubs,Easy,data/student_services/dean_students.md
Q054,What is the email of the Dance Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q055,What does the Programming Club do and what competitions does it promote?,Student Clubs,Medium,data/student_services/dean_students.md
Q056,Who is the Convenor of the Programming Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q057,What is the email of the Programming Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q058,What does the Music Club offer to students?,Student Clubs,Medium,data/student_services/dean_students.md
Q059,Who is the Convenor of the Music Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q060,What is the email of the Music Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q061,What type of performances does the DAU Theatres Group do?,Student Clubs,Medium,data/student_services/dean_students.md
Q062,Who is the Convenor of the DAU Theatres Group?,Student Clubs,Easy,data/student_services/dean_students.md
Q063,What is the email of the DAU Theatres Group?,Student Clubs,Easy,data/student_services/dean_students.md
Q064,What is the Research Club about?,Student Clubs,Medium,data/student_services/dean_students.md
Q065,Who is the Convenor of the Research Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q066,What is the email of the Research Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q067,What does the Chess Club do on campus?,Student Clubs,Easy,data/student_services/dean_students.md
Q068,Who is the Convenor of the Chess Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q069,What is the email of the Chess Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q070,What does the Electronics Hobby Club (EHC) work with?,Student Clubs,Medium,data/student_services/dean_students.md
Q071,Who is the Convenor of the EHC?,Student Clubs,Easy,data/student_services/dean_students.md
Q072,What is the email of the EHC?,Student Clubs,Easy,data/student_services/dean_students.md
Q073,What does PMMC stand for and what does the club focus on?,Student Clubs,Easy,data/student_services/dean_students.md
Q074,Who is the Convenor of the Photography and Movie Making Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q075,What is the email of the PMMC?,Student Clubs,Easy,data/student_services/dean_students.md
Q076,What events does the Film Club organize?,Student Clubs,Medium,data/student_services/dean_students.md
Q077,Who is the Convenor of the Film Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q078,What is the email of the Film Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q079,What does the Google Developer Group (GDG) at DAU do?,Student Clubs,Medium,data/student_services/dean_students.md
Q080,Who is the Convenor of GDG?,Student Clubs,Easy,data/student_services/dean_students.md
Q081,What is the email of GDG?,Student Clubs,Easy,data/student_services/dean_students.md
Q082,What is the IEEE Student Branch's objective at DAU?,Student Chapters & Societies,Medium,data/student_services/dean_students.md
Q083,Who is the Convenor of the IEEE Student Branch?,Student Chapters & Societies,Easy,data/student_services/dean_students.md
Q084,What is the email of the IEEE Student Branch?,Student Chapters & Societies,Easy,data/student_services/dean_students.md
Q085,What events does the IEEE Student Branch organize?,Student Chapters & Societies,Medium,data/student_services/dean_students.md
Q086,What does the Khelaiya Club do?,Student Clubs,Medium,data/student_services/dean_students.md
Q087,Who is the Convenor of the Khelaiya Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q088,What is the email of the Khelaiya Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q089,What does the Cubing Club do on campus?,Student Clubs,Easy,data/student_services/dean_students.md
Q090,Who is the Convenor of the Cubing Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q091,What is the email of the Cubing Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q092,What events does The Radio Club organize?,Student Clubs,Medium,data/student_services/dean_students.md
Q093,Who is the Convenor of The Radio Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q094,What is the email of The Radio Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q095,What is Headrush and what does it do?,Student Clubs,Easy,data/student_services/dean_students.md
Q096,Who is the Convenor of the Headrush Quizzing Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q097,What is the email of the Quizzing Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q098,What does the Business Club do?,Student Clubs,Medium,data/student_services/dean_students.md
Q099,Who is the Convenor of the Business Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q100,What is the email of the Business Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q101,What does MSTC stand for and what events does it organize?,Student Clubs,Medium,data/student_services/dean_students.md
Q102,Who is the Convenor of MSTC?,Student Clubs,Easy,data/student_services/dean_students.md
Q103,What is the email of MSTC?,Student Clubs,Easy,data/student_services/dean_students.md
Q104,What is Muse – The Designing Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q105,Who is the Convenor of Muse?,Student Clubs,Easy,data/student_services/dean_students.md
Q106,What is the email of Muse?,Student Clubs,Easy,data/student_services/dean_students.md
Q107,What does CINS stand for and what does the club focus on?,Student Clubs,Easy,data/student_services/dean_students.md
Q108,Who is the Convenor of the CINS Club?,Student Clubs,Easy,data/student_services/dean_students.md
Q109,What is the email of CINS?,Student Clubs,Easy,data/student_services/dean_students.md
Q110,What is DCEI and when was it established?,Student Chapters & Societies,Medium,data/student_services/committees/entrepreneurship_cell.md
Q111,What is the mission of DCEI?,Student Chapters & Societies,Medium,data/student_services/committees/entrepreneurship_cell.md
Q112,How many incubates has DCEI produced?,Student Chapters & Societies,Easy,data/student_services/committees/entrepreneurship_cell.md
Q113,Who supports DCEI financially / institutionally?,Student Chapters & Societies,Medium,data/student_services/committees/entrepreneurship_cell.md
Q114,How many sports facilities does DAU have in total?,Sports Facilities,Easy,data/infrastructure/sports_complex.md
Q115,How many basketball courts does DAU have?,Sports Facilities,Easy,data/infrastructure/sports_complex.md
Q116,How many indoor badminton courts are there on campus?,Sports Facilities,Easy,data/infrastructure/sports_complex.md
Q117,Does DAU have a cricket field?,Sports Facilities,Easy,data/infrastructure/sports_complex.md
Q118,What is the length of the athletic track at DAU?,Sports Facilities,Easy,data/infrastructure/sports_complex.md
Q119,How many volleyball courts does DAU have?,Sports Facilities,Easy,data/infrastructure/sports_complex.md
Q120,How many table tennis tables are in the DAU Table Tennis Hall?,Sports Facilities,Easy,data/infrastructure/sports_complex.md
Q121,Does DAU have a gymnasium?,Sports Facilities,Easy,data/infrastructure/sports_complex.md
Q122,Is there a yoga and meditation zone on the DAU campus?,Sports Facilities,Easy,data/infrastructure/sports_complex.md
