Question ID,Question,Subcategory,Difficulty,Expected Source
Q0001,Does the latest version of Machine Learning override the requirements listed in Minor Degree?,Policy Ambiguity,Hard,Academic Handbook
Q0002,"If a student failed Major Degree in 2024 but passed the supplementary exam in 2025, what policy applies?",Multi-Hop Retrieval,Hard,Program Regulations
Q0003,Find the minimum CGPA required for Scholarship Renewal and explain any exceptions.,Prerequisite Analysis,Medium,Course Catalog
Q0004,"According to the academic handbook, can a student who completed Academic Probation but not Machine Learning enroll in Summer Term?",Policy Ambiguity,Medium,Academic Handbook
Q0005,"Across all versions of the handbook, what changed regarding Thesis Submission between consecutive revisions and which version is authoritative?",Table Lookup,Easy,Academic Handbook
Q0006,"According to the academic handbook, can a student who completed Summer Term but not Capstone Project enroll in Thesis Submission?",Prerequisite Analysis,Easy,Program Regulations
Q0007,"Using information from multiple PDFs, determine whether exceptions to Research Project contradict the policy for Thesis Submission.",Citation Verification,Easy,Course Catalog
Q0008,Find the minimum CGPA required for Academic Probation and explain any exceptions.,Cross-Document Reasoning,Hard,Curriculum Guide
Q0009,Find the minimum CGPA required for Semester Withdrawal and explain any exceptions.,Policy Ambiguity,Medium,Student Policy Manual
Q0010,"Across all versions of the handbook, what changed regarding Elective Selection between consecutive revisions and which version is authoritative?",Table Lookup,Easy,Curriculum Guide
Q0011,"List every prerequisite chain leading to Data Structures, including indirect prerequisites and waived conditions.",Exam Regulations,Medium,Curriculum Guide
Q0012,What is the difference between the attendance requirement stated in Internship Registration and the rule mentioned in Machine Learning?,Prerequisite Analysis,Hard,Academic Handbook
Q0013,Compare the grading policy of Thesis Submission with the grading policy of Capstone Project.,Citation Verification,Hard,Course Catalog
Q0014,"Using information from multiple PDFs, determine whether exceptions to Scholarship Renewal contradict the policy for Machine Learning.",Citation Verification,Hard,Academic Handbook
Q0015,"Across all versions of the handbook, what changed regarding Academic Probation between consecutive revisions and which version is authoritative?",Multi-Hop Retrieval,Medium,Program Regulations
Q0016,Does the latest version of Hostel Allocation override the requirements listed in Research Project?,Cross-Document Reasoning,Medium,Multiple Documents
Q0017,Find the minimum CGPA required for Research Project and explain any exceptions.,Multi-Hop Retrieval,Hard,Student Policy Manual
Q0018,Find the minimum CGPA required for Internship Registration and explain any exceptions.,Curriculum Rules,Hard,Academic Handbook
Q0019,Which document has precedence when Semester Withdrawal conflicts with Data Structures?,Acronym Disambiguation,Medium,Academic Handbook
Q0020,"Across all versions of the handbook, what changed regarding Data Structures between consecutive revisions and which version is authoritative?",Exam Regulations,Hard,Academic Handbook
Q0021,"Using information from multiple PDFs, determine whether exceptions to Internship Registration contradict the policy for Elective Selection.",Exam Regulations,Medium,Course Catalog
Q0022,"List every prerequisite chain leading to Course Registration, including indirect prerequisites and waived conditions.",Temporal Reasoning,Medium,Program Regulations
Q0023,"According to the academic handbook, can a student who completed Semester Withdrawal but not Thesis Submission enroll in Major Degree?",Curriculum Rules,Medium,Program Regulations
Q0024,"According to the academic handbook, can a student who completed Elective Selection but not Internship Registration enroll in Research Project?",Multi-Hop Retrieval,Hard,Curriculum Guide
Q0025,"Across all versions of the handbook, what changed regarding Internship Registration between consecutive revisions and which version is authoritative?",Curriculum Rules,Hard,Student Policy Manual
Q0026,Compare the grading policy of Data Structures with the grading policy of Machine Learning.,Curriculum Rules,Easy,Multiple Documents
Q0027,Compare the grading policy of Minor Degree with the grading policy of Summer Term.,Policy Ambiguity,Hard,Academic Handbook
Q0029,Which document has precedence when Internship Registration conflicts with Hostel Allocation?,Cross-Document Reasoning,Easy,Multiple Documents
Q0030,"Across all versions of the handbook, what changed regarding Research Project between consecutive revisions and which version is authoritative?",Citation Verification,Medium,Curriculum Guide
Q0032,Identify every document that mentions Capstone Project and explain the differences.,Prerequisite Analysis,Medium,Course Catalog
Q0033,"List every prerequisite chain leading to Summer Term, including indirect prerequisites and waived conditions.",Curriculum Rules,Hard,Academic Handbook
Q0034,What is the difference between the attendance requirement stated in Hostel Allocation and the rule mentioned in Machine Learning?,Prerequisite Analysis,Hard,Program Regulations
Q0035,"Across all versions of the handbook, what changed regarding Capstone Project between consecutive revisions and which version is authoritative?",Temporal Reasoning,Medium,Student Policy Manual
Q0036,Compare the grading policy of Data Structures with the grading policy of Capstone Project.,Policy Ambiguity,Easy,Student Policy Manual
