Question ID,Question,Subcategory,Difficulty,Expected Source
FAC001,Who are the faculty members at DA-IICT?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC002,Where can I find the official faculty list?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC003,How do I access faculty profiles?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC004,What information is available in faculty profiles?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC005,Where is the DA-IICT faculty directory hosted?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC006,How can I search for a specific faculty member?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC007,Are faculty contact details publicly available?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC008,Where can I find faculty email addresses?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC009,Does DA-IICT provide department-wise faculty listing?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC010,How is faculty information structured on the website?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC011,Can I view faculty designations online?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC012,Where can I find faculty office locations?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC013,Is the faculty directory updated regularly?,Faculty Directory,Medium,data/faculty/regular/faculty_list.md
FAC014,Can I filter faculty by department?,Faculty Directory,Medium,data/faculty/regular/faculty_list.md
FAC015,Does the faculty page include research interests?,Faculty Directory,Medium,data/faculty/regular/faculty_list.md
FAC016,How detailed are faculty profiles at DA-IICT?,Faculty Directory,Medium,data/faculty/regular/faculty_list.md
FAC017,Are retired faculty members listed?,Faculty Directory,Medium,data/faculty/regular/faculty_list.md
FAC018,Can students contact faculty directly?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC019,Is faculty profile information publicly accessible?,Faculty Directory,Easy,data/faculty/regular/faculty_list.md
FAC020,Where is the main faculty database maintained?,Faculty Directory,Medium,data/faculty/regular/faculty_list.md
FAC021,Who is the Dean of Faculty?,Dean Faculty,Easy,data/faculty/dean_faculty.md
FAC022,What is the role of Dean Faculty?,Dean Faculty,Easy,data/faculty/dean_faculty.md
FAC023,Where can I find Dean Faculty information?,Dean Faculty,Easy,data/faculty/dean_faculty.md
FAC024,Who reports to the Dean Faculty?,Dean Faculty,Medium,data/faculty/dean_faculty.md
FAC025,What responsibilities does the Dean Faculty handle?,Dean Faculty,Medium,data/faculty/dean_faculty.md
FAC026,Is Dean Faculty information publicly available?,Dean Faculty,Easy,data/faculty/dean_faculty.md
FAC027,How is the Dean Faculty appointed?,Dean Faculty,Medium,data/faculty/dean_faculty.md
FAC028,What decisions does the Dean Faculty oversee?,Dean Faculty,Medium,data/faculty/dean_faculty.md
FAC029,Where is the Dean Faculty office located?,Dean Faculty,Easy,data/faculty/dean_faculty.md
FAC030,How to contact the Dean Faculty?,Dean Faculty,Easy,data/faculty/dean_faculty.md
