Question ID,Question,Category,Subcategory,Difficulty,Expected Source,Expected Answer
ACAD-001,Who is the instructor for MC223?,Course Policies,MC223,Easy,course_policy_mc223_theory_of_computation_winter24_pdf_-_puneet_bhateja,Check the course policy document for details.
ACAD-002,What are the rules regarding student leave policy wef ay2021-22?,Academic Policies,General Policy,Medium,academic_policy_student_leave_policy_wef_ay2021-22,Please refer to the academic policy documentation.
ACAD-003,What is the grading policy for IT628?,Course Policies,IT628,Easy,course_policy_it628_system_programming,Check the course policy document for details.
ACAD-004,Where can I find information about end sem exam schedule winter 2023-24 final version?,Academic Policies,General Policy,Medium,academic_policy_end_sem_exam_schedule_winter_2023-24_final_version,Please refer to the academic policy documentation.
ACAD-005,Who is the instructor for IE406?,Course Policies,IE406,Easy,course_policy_ie406_machine_learning_autumn_2025_page_215,Check the course policy document for details.
ACAD-006,What are the rules regarding academic requirements ph d program -hss design wef 2024-25 as of july 2024?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_ph_d_program_-hss_design_wef_2024-25_as_of_july_2024,Please refer to the academic policy documentation.
ACAD-007,What are the prerequisites for PC110?,Course Policies,PC110,Easy,course_policy_pc110_introduction_to_language_and_literature_autumn_2025_page_6,Check the course policy document for details.
ACAD-008,What are the prerequisites for DS612-INTERACTIVE?,Course Policies,DS612-INTERACTIVE,Easy,course_policy_ds612-interactive_data_visualization-winter26_-_bhaskar_chaudhury,Check the course policy document for details.
ACAD-009,Can you explain the policy for winter 2023-24 first in sem exam schedule final version?,Academic Policies,General Policy,Medium,academic_policy_winter_2023-24_first_in_sem_exam_schedule_final_version,Please refer to the academic policy documentation.
ACAD-010,Can you explain the policy for academic requirements ph d program enggscience wef 2024-25 as of july 2024?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_ph_d_program_enggscience_wef_2024-25_as_of_july_2024,Please refer to the academic policy documentation.
ACAD-011,What topics are covered in IT314?,Course Policies,IT314,Easy,course_policy_it314_software_engineering_autumn_2025_page_92,Check the course policy document for details.
ACAD-012,When are the lectures for HM489?,Course Policies,HM489,Easy,course_policy_hm489_international_economics_winter26_-_cyril_jos_nazhicheril,Check the course policy document for details.
ACAD-013,Can you explain the policy for btech ii ict?,Academic Policies,General Policy,Medium,academic_policy_btech_ii_ict,Please refer to the academic policy documentation.
ACAD-014,Where can I find information about academic requirements mdes cd wef 2025-26 as of august 2025?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_mdes_cd_wef_2025-26_as_of_august_2025,Please refer to the academic policy documentation.
ACAD-015,Can you explain the policy for academic requirements ph d program -hss design wef 2019-20 as of october 2019?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_ph_d_program_-hss_design_wef_2019-20_as_of_october_2019,Please refer to the academic policy documentation.
ACAD-016,What are the prerequisites for UNKNOWN?,Course Policies,UNKNOWN,Easy,course_policy_unknown_principles_of_economics_autumn_2025_page_111,Check the course policy document for details.
ACAD-017,Can you explain the policy for student?,Academic Policies,General Policy,Medium,academic_policy_student,Please refer to the academic policy documentation.
ACAD-018,When do the mid-semester exams start?,General,Exams,Easy,academic_policy_schedule,Please check the relevant academic policy.
ACAD-019,Can you explain the policy for medical facilities for students of da ii?,Academic Policies,General Policy,Medium,academic_policy_medical_facilities_for_students_of_da_ii,Please refer to the academic policy documentation.
ACAD-020,Can you explain the policy for policy for late registration or course adjustment and fixation of fine?,Academic Policies,General Policy,Medium,academic_policy_policy_for_late_registration_or_course_adjustment_and_fixation_of_fine,Please refer to the academic policy documentation.
ACAD-021,How do I apply for a student leave?,General,Leave,Easy,academic_policy_student_leave_policy,Please check the relevant academic policy.
ACAD-022,What are the rules regarding disciplinary guidelines for students?,Academic Policies,General Policy,Medium,academic_policy_disciplinary_guidelines_for_students,Please refer to the academic policy documentation.
ACAD-023,Who is the instructor for UNKNOWN?,Course Policies,UNKNOWN,Easy,course_policy_unknown_foundations_of_machine_learning_autumn_2025_page_318,Check the course policy document for details.
ACAD-024,Where can I find information about certificate of academic accomplishment?,Academic Policies,General Policy,Medium,academic_policy_certificate_of_academic_accomplishment,Please refer to the academic policy documentation.
ACAD-025,Where can I find information about students document service?,Academic Policies,General Policy,Medium,academic_policy_students_document_service,Please refer to the academic policy documentation.
ACAD-026,Who is the instructor for MC311MATHEMATICALOPTIMIZATION?,Course Policies,MC311MATHEMATICALOPTIMIZATION,Easy,course_policy_unknown_mc311mathematicaloptimization_autumn_2025_page_104,Check the course policy document for details.
ACAD-027,Can you explain the policy for rules guidelines for conducting written examination for person with benchmark disabilities?,Academic Policies,General Policy,Medium,academic_policy_rules_guidelines_for_conducting_written_examination_for_person_with_benchmark_disabilities,Please refer to the academic policy documentation.
ACAD-028,When are the lectures for DS615?,Course Policies,DS615,Easy,course_policy_ds615_neuralnetworksanddeeplearning_winter25_1_1_-_sourish_dasgupta,Check the course policy document for details.
ACAD-029,When are the lectures for UNKNOWN?,Course Policies,UNKNOWN,Easy,course_policy_unknown_ds-805_machine_learning_system_engineering_autumn_2025_page_156,Check the course policy document for details.
ACAD-030,What are the rules regarding academic requirements msc ds wef 2024-25 as of october 2024?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_msc_ds_wef_2024-25_as_of_october_2024,Please refer to the academic policy documentation.
ACAD-031,What topics are covered in HM409-MANAGEMENT-SKILLS-PROFESSIONAL-EXCELLENCE?,Course Policies,HM409-MANAGEMENT-SKILLS-PROFESSIONAL-EXCELLENCE,Easy,course_policy_hm409-management-skills-professional-excellence,Check the course policy document for details.
ACAD-032,What topics are covered in HMXXX?,Course Policies,HMXXX,Easy,course_policy_hmxxx_introduction_to_speculative_fiction_and_films_autumn_2025_page_301,Check the course policy document for details.
ACAD-033,Can you explain the policy for da-iict student code of conduct and dac guidelines?,Academic Policies,General Policy,Medium,academic_policy_da-iict_student_code_of_conduct_and_dac_guidelines,Please refer to the academic policy documentation.
ACAD-034,What are the rules regarding academic requirements m tech ict program wef 2021-22 updated?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_m_tech_ict_program_wef_2021-22_updated,Please refer to the academic policy documentation.
ACAD-035,Where can I find information about examination rules for students?,Academic Policies,General Policy,Medium,academic_policy_examination_rules_for_students,Please refer to the academic policy documentation.
ACAD-036,Where can I find information about may?,Academic Policies,General Policy,Medium,academic_policy_may,Please refer to the academic policy documentation.
ACAD-037,Where can I find information about appendix - specialization-wise m tech ict course struture from 2024-25?,Academic Policies,General Policy,Medium,academic_policy_appendix_-_specialization-wise_m_tech_ict_course_struture_from_2024-25,Please refer to the academic policy documentation.
ACAD-038,What topics are covered in UNKNOWN?,Course Policies,UNKNOWN,Easy,course_policy_unknown_vlsi_circuits_for_dsp_autumn_2025_page_264,Check the course policy document for details.
ACAD-039,What are the rules regarding academic requirements for the mdes?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_for_the_mdes,Please refer to the academic policy documentation.
ACAD-040,Can you explain the policy for committees t r 2024-25 updated?,Academic Policies,General Policy,Medium,academic_policy_committees_t_r_2024-25_updated,Please refer to the academic policy documentation.
ACAD-041,Can you explain the policy for vehicle rules for students?,Academic Policies,General Policy,Medium,academic_policy_vehicle_rules_for_students,Please refer to the academic policy documentation.
ACAD-042,Where can I find information about academic requirements for the ph d?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_for_the_ph_d,Please refer to the academic policy documentation.
ACAD-043,What are the rules regarding academic requirements pg programs updated as of august 2016?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_pg_programs_updated_as_of_august_2016,Please refer to the academic policy documentation.
ACAD-044,Can you explain the policy for examination rules cum guidelines for phy?,Academic Policies,General Policy,Medium,academic_policy_examination_rules_cum_guidelines_for_phy,Please refer to the academic policy documentation.
ACAD-045,Can you explain the policy for appendix i?,Academic Policies,General Policy,Medium,academic_policy_appendix_i,Please refer to the academic policy documentation.
ACAD-046,Can you explain the policy for schedule for winter 2024-25 end semester exams final version?,Academic Policies,General Policy,Medium,academic_policy_schedule_for_winter_2024-25_end_semester_exams_final_version,Please refer to the academic policy documentation.
ACAD-047,What topics are covered in SC421-INTRODUCTION?,Course Policies,SC421-INTRODUCTION,Easy,course_policy_sc421-introduction_to_modern_algebra_-_gautam_dutta,Check the course policy document for details.
ACAD-048,Can you explain the policy for academic requirements m tech ec program wef 2022-23?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_m_tech_ec_program_wef_2022-23,Please refer to the academic policy documentation.
ACAD-049,What are the vehicular rules for students?,General,Rules,Easy,academic_policy_vehicle_rules,Please check the relevant academic policy.
ACAD-050,Can you explain the policy for academic requirements for the m tech ec?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_for_the_m_tech_ec,Please refer to the academic policy documentation.
ACAD-051,What is the penalty for academic dishonesty?,General,Discipline,Easy,academic_policy_malpractices,Please check the relevant academic policy.
ACAD-052,When are the lectures for IT590-ADVANCED?,Course Policies,IT590-ADVANCED,Easy,course_policy_it590-advanced_statistical_tools_for_data_science,Check the course policy document for details.
ACAD-053,Where can I find information about minor ras policy document?,Academic Policies,General Policy,Medium,academic_policy_minor_ras_policy_document,Please refer to the academic policy documentation.
ACAD-054,What are the rules regarding ug2024 autumn 2024-25 mid semester exam schedule final version?,Academic Policies,General Policy,Medium,academic_policy_ug2024_autumn_2024-25_mid_semester_exam_schedule_final_version,Please refer to the academic policy documentation.
ACAD-055,What are the rules regarding schedule for winter 2024-25 first semester exams final version?,Academic Policies,General Policy,Medium,academic_policy_schedule_for_winter_2024-25_first_semester_exams_final_version,Please refer to the academic policy documentation.
ACAD-056,What are the rules regarding m sc-ds-project-guidelines?,Academic Policies,General Policy,Medium,academic_policy_m_sc-ds-project-guidelines,Please refer to the academic policy documentation.
ACAD-057,What are the rules regarding academic requirements ph d program engg science wef 2019-20 as of october 2019?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_ph_d_program_engg_science_wef_2019-20_as_of_october_2019,Please refer to the academic policy documentation.
ACAD-058,Can you explain the policy for february?,Academic Policies,General Policy,Medium,academic_policy_february,Please refer to the academic policy documentation.
ACAD-059,Can you explain the policy for five-year dual degree program?,Academic Policies,General Policy,Medium,academic_policy_five-year_dual_degree_program,Please refer to the academic policy documentation.
ACAD-060,Can you explain the policy for registration notice summer 2025-26?,Academic Policies,General Policy,Medium,academic_policy_registration_notice_summer_2025-26,Please refer to the academic policy documentation.
ACAD-061,What are the rules regarding malpractices improper conduct in examina?,Academic Policies,General Policy,Medium,academic_policy_malpractices_improper_conduct_in_examina,Please refer to the academic policy documentation.
ACAD-062,Where can I find information about medical facilities emergency procedure for students?,Academic Policies,General Policy,Medium,academic_policy_medical_facilities_emergency_procedure_for_students,Please refer to the academic policy documentation.
