Question ID,Question,Expected Source,Retrieved Source,Answer Quality,Pass/Fail,Notes
SP001,Is there a concept of official leave for students at DA-IICT?,student_leave_policy,Policies/Faculty Handbook | Student Leave Policy,Good,Pass,Answer generated successfully.
SP002,What must students adhere to instead of having a formal leave system?,student_leave_policy, |  | First year in campus,Good,Pass,Answer generated successfully.
SP003,"If I've been absent for 3 or more consecutive weeks, what option do I have?",student_leave_policy, |  | Student Leave Policy,Good,Pass,Answer generated successfully.
SP004,Who do I apply to if I want to opt for semester withdrawal after being absent 3+ weeks?,student_leave_policy, |  | student leave policy,Good,Pass,Answer generated successfully.
SP005,"If I've been absent for 3+ consecutive weeks and I don't opt for withdrawal, do I get any relaxation on continuous evaluation marks?",student_leave_policy, |  | student leave policy,Good,Pass,Answer generated successfully.
SP006,I missed an exam because of a family death. Where do I apply?,student_leave_policy, | student leave policy | Student Leave Policy,Good,Pass,Answer generated successfully.
SP007,"What are the valid reasons for applying for a missed exam? (illness, accident, death in family)",student_leave_policy, | student leave policy | Student Leave Policy,Good,Pass,Answer generated successfully.
SP008,Within how many days of missing an exam must I submit the leave application?,student_leave_policy,student leave policy |  | Student Leave Policy,Good,Pass,Answer generated successfully.
SP009,What documents do I need to provide when applying for a missed exam due to illness?,student_leave_policy,medical assisstance |  | UGC Proforma/Proforma for Inspection by UGC – 2025,Good,Pass,Answer generated successfully.
SP010,Can I sit for a re-exam before my leave application is approved?,student_leave_policy, | student leave policy | ,Good,Pass,Answer generated successfully.
SP011,Who conducts the re-examination or alternate assessment after leave is approved?,student_leave_policy, | student leave policy | Malpractices/Improper Conduct in Examinations and Consequences,Good,Pass,Answer generated successfully.
SP012,What happens if I miss the re-examination too?,student_leave_policy, | student leave policy | Malpractices/Improper Conduct in Examinations and Consequences,Good,Pass,Answer generated successfully.
SP013,From which academic year did the student leave policy become effective?,student_leave_policy,Student Leave Policy | Student Leave Policy,Good,Pass,Answer generated successfully.
SP014,Where do I collect the leave application proforma from?,student_leave_policy, |  | UGC Proforma/Proforma for Inspection by UGC – 2025,Good,Pass,Answer generated successfully.
SP015,Who communicates the schedule for re-examinations?,student_leave_policy, | Examination Department | UGC Proforma/Proforma for Inspection by UGC – 2025,Good,Pass,Answer generated successfully.
SP016,Who allots rooms to new students in the hostel?,hostel_rules_and_regulations, |  | ,Good,Pass,Answer generated successfully.
SP017,"Who has the authority to allot, re-allot, or withdraw hostel accommodation?",hostel_rules_and_regulations, |  | hall of residence,Good,Pass,Answer generated successfully.
SP018,Who is eligible for hostel room allotment?,hostel_rules_and_regulations, |  | ,Good,Pass,Answer generated successfully.
SP019,"If I stop being a student, how many days do I have to vacate the hostel?",hostel_rules_and_regulations,hall of residence | ,Poor,Fail,RAG fallback triggered. Missing context.
SP020,For how many years are UG students guaranteed a hostel room?,hostel_rules_and_regulations,hall of residence | Students,Poor,Fail,RAG fallback triggered. Missing context.
SP021,What happens if a UG student needs hostel accommodation beyond 4 years?,hostel_rules_and_regulations,hall of residence,Good,Pass,Answer generated successfully.
SP022,How many guardian/relative contacts must hostellers from outside Ahmedabad/Gandhinagar provide?,hostel_rules_and_regulations,Students | Students | ,Poor,Fail,RAG fallback triggered. Missing context.
SP023,Is alcohol allowed in the hostel or campus?,hostel_rules_and_regulations,hall of residence,Good,Pass,Answer generated successfully.
SP024,What law makes alcohol/intoxicants prohibited at DA-IICT?,hostel_rules_and_regulations,Student | hall of residence,Good,Pass,Answer generated successfully.
SP025,What is the consequence for possession or consumption of alcohol on campus?,hostel_rules_and_regulations,hall of residence | Students / DAC/ Act of indiscipline and indicative list of punishment | ,Good,Pass,Answer generated successfully.
SP026,What time must hostellers return to campus by?,hostel_rules_and_regulations,hall of residence | ,Poor,Fail,RAG fallback triggered. Missing context.
SP027,During what hours are students not allowed outside campus?,hostel_rules_and_regulations, |  | ,Poor,Fail,RAG fallback triggered. Missing context.
SP028,What is the exception for leaving campus between midnight and 6 AM?,hostel_rules_and_regulations,Examination Rules for students | hall of residence | student leave policy,Poor,Fail,RAG fallback triggered. Missing context.
SP029,What must I do before staying away from the hostel even for one night?,hostel_rules_and_regulations,hall of residence | ,Good,Pass,Answer generated successfully.
SP030,Am I allowed to enter the hostel of the opposite gender?,hostel_rules_and_regulations,National Education Policy 2020 | hall of residence,Poor,Fail,RAG fallback triggered. Missing context.
SP031,What is the punishment for changing rooms or exchanging property without Hostel Supervisor approval?,hostel_rules_and_regulations,hall of residence |  | ,Good,Pass,Answer generated successfully.
SP032,Is ragging considered a criminal offence at DA-IICT?,hostel_rules_and_regulations,Students / Curbing Ragging | Students / ANTI-RAGGING Committees & Squad Details | ,Good,Pass,Answer generated successfully.
SP033,Who should I contact if I witness or experience ragging?,hostel_rules_and_regulations,Students / Anti-Ragging Info | Students / ANTI-RAGGING Committees & Squad Details,Good,Pass,Answer generated successfully.
SP034,What is the maximum punishment for ragging?,hostel_rules_and_regulations,Students / Curbing Ragging | Students / Anti-Ragging Info | Students / ANTI-RAGGING Committees & Squad Details,Good,Pass,Answer generated successfully.
SP035,Is there a dress code for hostellers outside their rooms?,hostel_rules_and_regulations,hall of residence | ,Good,Pass,Answer generated successfully.
SP036,What is the fine if an unauthorized person stays in my hostel room?,hostel_rules_and_regulations,hall of residence | ,Good,Pass,Answer generated successfully.
SP037,What should I do with electrical gadgets when leaving my room?,hostel_rules_and_regulations, | AnnualReport 2018-19 pdf | hall of residence,Poor,Fail,RAG fallback triggered. Missing context.
SP038,Can I bring food inside the HOR (Hall of Residence)?,hostel_rules_and_regulations,hall of residence | Halls of Residence,Good,Pass,Answer generated successfully.
SP039,"What is the fine for bringing food inside the HOR, and within what time must it be paid?",hostel_rules_and_regulations,hall of residence | ,Good,Pass,Answer generated successfully.
SP040,Which electrical appliances are prohibited in hostel rooms?,hostel_rules_and_regulations, | hall of residence,Good,Pass,Answer generated successfully.
SP041,Is cooking permitted in hostel rooms?,hostel_rules_and_regulations, | hall of residence,Good,Pass,Answer generated successfully.
SP042,Are 4-wheelers allowed on campus for students?,hostel_rules_and_regulations, |  | ,Good,Pass,Answer generated successfully.
SP043,How many 2-wheelers can a student have on campus?,hostel_rules_and_regulations, |  | ,Good,Pass,Answer generated successfully.
SP044,What happens on the first vehicle rule offence in the hostel context?,hostel_rules_and_regulations,hall of residence |  | vehicle rules for students,Good,Pass,Answer generated successfully.
SP045,Can fines be imposed on an entire floor or wing for electricity/water wastage?,hostel_rules_and_regulations, | hall of residence,Good,Pass,Answer generated successfully.
SP046,Where should I file maintenance complaints in the hostel?,hostel_rules_and_regulations, | hall of residence,Good,Pass,Answer generated successfully.
SP047,What is the escalation path for unresolved hostel complaints?,hostel_rules_and_regulations,hall of residence | Students,Good,Pass,Answer generated successfully.
SP048,Can the institute do spot checks of hostel rooms without notice?,hostel_rules_and_regulations, |  | hall of residence,Good,Pass,Answer generated successfully.
SP049,Is drilling or civil works allowed in hostel rooms?,hostel_rules_and_regulations,hall of residence | ,Good,Pass,Answer generated successfully.
