RES001,What is the research overview of DA-IICT?,Research Overview,Easy,research
RES002,Where can I find the official research overview page?,Research Overview,Easy,research
RES003,What information is included in research overview?,Research Overview,Easy,research
RES004,Does DA-IICT publish a research summary?,Research Overview,Easy,research
RES005,How is research structured at DA-IICT?,Research Overview,Medium,research
RES006,What is the purpose of the research overview page?,Research Overview,Easy,research
RES007,Is research overview publicly accessible?,Research Overview,Easy,research
RES008,Who manages the research overview section?,Research Overview,Medium,research
RES009,Does research overview include all departments?,Research Overview,Medium,research
RES010,How often is research overview updated?,Research Overview,Medium,research

RES011,What are the major research areas at DA-IICT?,Research Areas,Easy,research
RES012,Where can I find research areas listed?,Research Areas,Easy,research
RES013,How many research domains exist at DA-IICT?,Research Areas,Medium,research
RES014,What disciplines are included in research areas?,Research Areas,Easy,research
RES015,Are interdisciplinary research areas included?,Research Areas,Medium,research
RES016,How are research areas categorized?,Research Areas,Medium,research
RES017,Is AI included in research areas?,Research Areas,Easy,research
RES018,Are humanities part of research areas?,Research Areas,Easy,research
RES019,Does DA-IICT cover VLSI research?,Research Areas,Easy,research
RES020,Is networking part of research research areas?,Research Areas,Easy,research

RES021,What is AI and ML research at DA-IICT?,AI ML Data Science,Easy,research
RES022,Where is AI ML research information available?,AI ML Data Science,Easy,research
RES023,What topics are covered in data science research?,AI ML Data Science,Easy,research
RES024,Does DA-IICT work on machine learning research?,AI ML Data Science,Easy,research
RES025,What projects exist in AI research?,AI ML Data Science,Medium,research
RES026,Is deep learning part of research at DA-IICT?,AI ML Data Science,Medium,research
RES027,Who works on AI research at DA-IICT?,AI ML Data Science,Medium,research
RES028,What are applications of data science research?,AI ML Data Science,Medium,research
RES029,Is big data research included?,AI ML Data Science,Medium,research
RES030,Are neural networks studied in research?,AI ML Data Science,Medium,research

RES031,What is algorithms and theory of computation research?,Algorithms & Theory,Easy,research
RES032,Where can I find theory of computation research?,Algorithms & Theory,Easy,research
RES033,What topics are included in algorithms research?,Algorithms & Theory,Easy,research
RES034,Does DA-IICT study graph algorithms?,Algorithms & Theory,Easy,research
RES035,Are complexity theory topics covered?,Algorithms & Theory,Medium,research
RES036,What is theoretical computer science research?,Algorithms & Theory,Medium,research
RES037,Who leads algorithm research groups?,Algorithms & Theory,Medium,research
RES038,Are cryptography topics included?,Algorithms & Theory,Medium,research
RES039,Is optimization part of algorithms research?,Algorithms & Theory,Medium,research
RES040,How important is theory research at DA-IICT?,Algorithms & Theory,Medium,research

RES041,What is communications and signal processing research?,Signal Processing,Easy,research
RES042,Where is signal processing research listed?,Signal Processing,Easy,research
RES043,What topics are included in communications research?,Signal Processing,Easy,research
RES044,Does DA-IICT study wireless communication?,Signal Processing,Easy,research
RES045,Is image processing part of research?,Signal Processing,Easy,research
RES046,What is DSP research at DA-IICT?,Signal Processing,Medium,research
RES047,Are communication systems studied?,Signal Processing,Easy,research
RES048,Who works in signal processing research?,Signal Processing,Medium,research
RES049,Are antennas and RF systems included?,Signal Processing,Medium,research
RES050,How is communication research applied?,Signal Processing,Medium,research

RES051,What is humanities and social sciences research?,HSS Research,Easy,research
RES052,Where can I find humanities research at DA-IICT?,HSS Research,Easy,research
RES053,What topics are included in design research?,HSS Research,Easy,research
RES054,Is psychology part of research?,HSS Research,Medium,research
RES055,Are communication studies included?,HSS Research,Easy,research
RES056,What is interdisciplinary research in HSS?,HSS Research,Medium,research
RES057,Who conducts humanities research?,HSS Research,Medium,research
RES058,Are design projects part of research?,HSS Research,Easy,research
RES059,Is sociology included in research?,HSS Research,Medium,research
RES060,How does design research contribute?,HSS Research,Medium,research

RES061,What is physics and mathematical sciences research?,Physics & Maths,Easy,research
RES062,Where is physics research listed?,Physics & Maths,Easy,research
RES063,What mathematical topics are studied?,Physics & Maths,Easy,research
RES064,Is theoretical physics part of research?,Physics & Maths,Medium,research
RES065,Does DA-IICT research applied mathematics?,Physics & Maths,Easy,research
RES066,Are statistics topics included?,Physics & Maths,Easy,research
RES067,What is computational physics research?,Physics & Maths,Medium,research
RES068,Who leads math research groups?,Physics & Maths,Medium,research
RES069,Are simulations part of research?,Physics & Maths,Medium,research
RES070,How is math used in other research areas?,Physics & Maths,Medium,research

RES071,What is software systems and networking research?,Software Systems,Easy,research
RES072,Where is networking research available?,Software Systems,Easy,research
RES073,What topics are included in software systems research?,Software Systems,Easy,research
RES074,Is cloud computing part of research?,Software Systems,Easy,research
RES075,Does DA-IICT study distributed systems?,Software Systems,Medium,research
RES076,Are operating systems included?,Software Systems,Easy,research
RES077,What is network security research?,Software Systems,Medium,research
RES078,Who works on software research?,Software Systems,Medium,research
RES079,Is database research included?,Software Systems,Easy,research
RES080,How is networking research applied?,Software Systems,Medium,research

RES081,What is VLSI and embedded systems research?,VLSI,Easy,research
RES082,Where is VLSI research information?,VLSI,Easy,research
RES083,What topics are included in embedded systems?,VLSI,Easy,research
RES084,Does DA-IICT research chip design?,VLSI,Medium,research
RES085,Is hardware design part of research?,VLSI,Easy,research
RES086,What is FPGA research?,VLSI,Medium,research
RES087,Are microcontrollers studied?,VLSI,Easy,research
RES088,Who leads VLSI research?,VLSI,Medium,research
RES089,Is IoT part of embedded systems?,VLSI,Easy,research
RES090,How is VLSI research applied?,VLSI,Medium,research

RES091,What is Dean R&D office?,Dean R&D,Easy,research
RES092,Where can I contact Dean R&D?,Dean R&D,Easy,research
RES093,What is the role of Dean R&D?,Dean R&D,Easy,research
RES094,Who manages research funding?,Dean R&D,Medium,research
RES095,Does Dean R&D handle projects?,Dean R&D,Easy,research
RES096,What decisions does Dean R&D take?,Dean R&D,Medium,research
RES097,Is Dean R&D responsible for grants?,Dean R&D,Easy,research
RES098,Where is research policy managed?,Dean R&D,Medium,research
RES099,Does Dean R&D approve projects?,Dean R&D,Medium,research
RES100,How is research administration handled?,Dean R&D,Medium,research

RES101,What are faculty publications?,Faculty Publications,Easy,research
RES102,Where can I find research publications?,Faculty Publications,Easy,research
RES103,How are publications stored?,Faculty Publications,Easy,research
RES104,Are journals included in publications?,Faculty Publications,Easy,research
RES105,Are conference papers included?,Faculty Publications,Easy,research
RES106,Can publications be searched?,Faculty Publications,Medium,research
RES107,Who updates publication records?,Faculty Publications,Medium,research
RES108,How often are publications updated?,Faculty Publications,Medium,research
RES109,What is publication database?,Faculty Publications,Easy,research
RES110,Are citations included?,Faculty Publications,Medium,research

RES111,What are sponsored research projects?,Sponsored Projects,Easy,research
RES112,Where are sponsored projects listed?,Sponsored Projects,Easy,research
RES113,Who funds sponsored projects?,Sponsored Projects,Easy,research
RES114,Are industry projects included?,Sponsored Projects,Easy,research
RES115,What is project status tracking?,Sponsored Projects,Medium,research
RES116,Who manages sponsored projects?,Sponsored Projects,Medium,research
RES117,How are projects approved?,Sponsored Projects,Medium,research
RES118,What types of projects exist?,Sponsored Projects,Easy,research
RES119,Are government projects included?,Sponsored Projects,Easy,research
RES120,How are project outcomes recorded?,Sponsored Projects,Medium,research

RES121,What is IRB in research?,Institutional Review Board,Easy,research
RES122,Where is IRB information available?,Institutional Review Board,Easy,research
