Question ID,Question,Expected Source,Retrieved Source,Answer Quality,Pass/Fail,Notes
Q0001,Does the latest version of Machine Learning override the requirements listed in Minor Degree?,Academic Handbook,academic_policy_academic_requirements_for_the_m_tech_ict.md,Good,Pass,Found 7/9 keywords in academic_policy_academic_requirements_for_the_m_tech_ict.md.
Q0002,"If a student failed Major Degree in 2024 but passed the supplementary exam in 2025, what policy applies?",Program Regulations,academic_policy_academic_requirements_for_the_m_tech_ict.md,Good,Pass,Found 7/9 keywords in academic_policy_academic_requirements_for_the_m_tech_ict.md.
Q0003,Find the minimum CGPA required for Scholarship Renewal and explain any exceptions.,Course Catalog,mdes_communication_design.md,Good,Pass,Found 4/8 keywords in mdes_communication_design.md.
Q0004,"According to the academic handbook, can a student who completed Academic Probation but not Machine Learning enroll in Summer Term?",Academic Handbook,academic_policy_academic_requirements_mtech_cs_ml_program_wef_2021_22.md,Good,Pass,Found 10/12 keywords in academic_policy_academic_requirements_mtech_cs_ml_program_wef_2021_22.md.
Q0005,"Across all versions of the handbook, what changed regarding Thesis Submission between consecutive revisions and which version is authoritative?",Academic Handbook,course_policy_mc111_mc111_mathematical_algorithmic_and_autumn_2025_page_19.md,Good,Pass,Found 6/13 keywords in course_policy_mc111_mc111_mathematical_algorithmic_and_autumn_2025_page_19.md.
Q0006,"According to the academic handbook, can a student who completed Summer Term but not Capstone Project enroll in Thesis Submission?",Program Regulations,academic_policy_academic_requirements_for_the_m_tech_ict.md,Good,Pass,Found 8/12 keywords in academic_policy_academic_requirements_for_the_m_tech_ict.md.
Q0007,"Using information from multiple PDFs, determine whether exceptions to Research Project contradict the policy for Thesis Submission.",Course Catalog,bs_ms_data_science_artificial_intelligence.md,Good,Pass,Found 8/13 keywords in bs_ms_data_science_artificial_intelligence.md.
Q0008,Find the minimum CGPA required for Academic Probation and explain any exceptions.,Curriculum Guide,mdes_communication_design.md,Good,Pass,Found 5/8 keywords in mdes_communication_design.md.
Q0009,Find the minimum CGPA required for Semester Withdrawal and explain any exceptions.,Student Policy Manual,mdes_communication_design.md,Good,Pass,Found 5/8 keywords in mdes_communication_design.md.
Q0010,"Across all versions of the handbook, what changed regarding Elective Selection between consecutive revisions and which version is authoritative?",Curriculum Guide,academic_policy_academic_requirements_ph_d_program_hss_design_wef_2024_25_as.md,Good,Pass,Found 6/13 keywords in academic_policy_academic_requirements_ph_d_program_hss_design_wef_2024_25_as.md.
Q0011,"List every prerequisite chain leading to Data Structures, including indirect prerequisites and waived conditions.",Curriculum Guide,academic_policy_academic_requirements_for_the_m_tech_ict.md,Good,Pass,Found 9/12 keywords in academic_policy_academic_requirements_for_the_m_tech_ict.md.
Q0012,What is the difference between the attendance requirement stated in Internship Registration and the rule mentioned in Machine Learning?,Academic Handbook,btech_evd.md,Good,Pass,Found 8/11 keywords in btech_evd.md.
Q0013,Compare the grading policy of Thesis Submission with the grading policy of Capstone Project.,Course Catalog,course_policy_andcreditstructure_cloud_computing_autumn_2025_page_280.md,Good,Pass,Found 7/9 keywords in course_policy_andcreditstructure_cloud_computing_autumn_2025_page_280.md.
Q0014,"Using information from multiple PDFs, determine whether exceptions to Scholarship Renewal contradict the policy for Machine Learning.",Academic Handbook,bs_ms_data_science_artificial_intelligence.md,Good,Pass,Found 8/13 keywords in bs_ms_data_science_artificial_intelligence.md.
Q0015,"Across all versions of the handbook, what changed regarding Academic Probation between consecutive revisions and which version is authoritative?",Program Regulations,academic_policy_academic_requirements_ph_d_program_hss_design_wef_2024_25_as.md,Good,Pass,Found 6/13 keywords in academic_policy_academic_requirements_ph_d_program_hss_design_wef_2024_25_as.md.
Q0016,Does the latest version of Hostel Allocation override the requirements listed in Research Project?,Multiple Documents,bs_ms_information_technology.md,Good,Pass,Found 6/9 keywords in bs_ms_information_technology.md.
Q0017,Find the minimum CGPA required for Research Project and explain any exceptions.,Student Policy Manual,mdes_communication_design.md,Good,Pass,Found 6/8 keywords in mdes_communication_design.md.
Q0018,Find the minimum CGPA required for Internship Registration and explain any exceptions.,Academic Handbook,bs_ms_data_science_artificial_intelligence.md,Good,Pass,Found 5/8 keywords in bs_ms_data_science_artificial_intelligence.md.
Q0019,Which document has precedence when Semester Withdrawal conflicts with Data Structures?,Academic Handbook,academic_policy_academic_requirements_m_sc_it_wef_2023_24_as_of_august_2023.md,Good,Pass,Found 6/8 keywords in academic_policy_academic_requirements_m_sc_it_wef_2023_24_as_of_august_2023.md.
Q0020,"Across all versions of the handbook, what changed regarding Data Structures between consecutive revisions and which version is authoritative?",Academic Handbook,mdes_communication_design.md,Good,Pass,Found 6/13 keywords in mdes_communication_design.md.
Q0021,"Using information from multiple PDFs, determine whether exceptions to Internship Registration contradict the policy for Elective Selection.",Course Catalog,bs_ms_data_science_artificial_intelligence.md,Good,Pass,Found 8/13 keywords in bs_ms_data_science_artificial_intelligence.md.
Q0022,"List every prerequisite chain leading to Course Registration, including indirect prerequisites and waived conditions.",Program Regulations,academic_policy_academic_requirements_for_the_m_tech_ict.md,Good,Pass,Found 10/12 keywords in academic_policy_academic_requirements_for_the_m_tech_ict.md.
Q0023,"According to the academic handbook, can a student who completed Semester Withdrawal but not Thesis Submission enroll in Major Degree?",Program Regulations,phd.md,Good,Pass,Found 10/12 keywords in phd.md.
Q0024,"According to the academic handbook, can a student who completed Elective Selection but not Internship Registration enroll in Research Project?",Curriculum Guide,academic_policy_academic_requirements_for_the_m_tech_ict.md,Good,Pass,Found 10/12 keywords in academic_policy_academic_requirements_for_the_m_tech_ict.md.
Q0025,"Across all versions of the handbook, what changed regarding Internship Registration between consecutive revisions and which version is authoritative?",Student Policy Manual,None,Poor,Fail,Missing Knowledge: Only found 5/13 keywords. True Gap.
Q0026,Compare the grading policy of Data Structures with the grading policy of Machine Learning.,Multiple Documents,course_policy_cs301_high_performance_computing_hpc_winter.md,Good,Pass,Found 8/9 keywords in course_policy_cs301_high_performance_computing_hpc_winter.md.
