priority,needs_reextract,file,issues,url,source_type
critical,True,administration/daiict_ac_in_sites_default_files_other_files_daiict_ar_2019_20_pdf.md,STUB_EMPTY | SCANNED_PDF,https://www.daiict.ac.in/sites/default/files/other-files/DAIICT_AR_2019_20.pdf,PDF
critical,True,administration/daiict_ac_in_sites_default_files_other_files_general_service_condition_employee_.md,STUB_EMPTY | SCANNED_PDF,https://www.daiict.ac.in/sites/default/files/other-files/General-Service-Condition-Employee-Conduct-Rules-and-Disciplinary-Probvisions-Comp.pdf,PDF
critical,True,administration/daiict_ac_in_sites_default_files_other_files_plagiarism_prevention_framework_rev.md,SCANNED_PDF,https://www.daiict.ac.in/sites/default/files/other-files/Plagiarism-Prevention-Framework_rev1-Director-2-EDITEDMM-1.pdf,PDF
critical,True,administration/daiict_ac_in_sites_default_files_other_files_ugc_12b_proforma_for_seeking_inform.md,STUB_EMPTY | SCANNED_PDF,https://www.daiict.ac.in/sites/default/files/other-files/UGC_12B_PROFORMA-FOR-SEEKING-INFORMATION-FOR-12-B-STATUS_Form_With_Annexures-1.pdf,PDF
critical,True,administration/daiict_ac_in_sites_default_files_other_files_ugc_proforma_for_inspection_with_ap.md,SCANNED_PDF,https://www.daiict.ac.in/sites/default/files/other-files/UGC-Proforma-for-inspection-with-Appendices-and-Annexures_2025.pdf,PDF
critical,True,policies/daiict_ac_in_sites_default_files_other_files_policy_on_patent_filing_process_pdf.md,STUB_EMPTY | SCANNED_PDF,https://www.daiict.ac.in/sites/default/files/other-files/Policy-on-Patent-Filing-Process.pdf,PDF
high,False,academics/academic_policy_.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Winter 2023-24 First In Sem Exam Schedule Final Version.pdf,PDF
high,False,academics/academic_policy_committees_t_and_r_2024_25_updated.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/academic_policy_requirements_m_sc_aa_wef_2022_23.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/academic_policy_requirements_m_sc_it_wef_2023_24_as_of_august_2023.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/academic_policy_requirements_ph_d_program_hss_and_design_wef_2019_20_as_of_october_2019.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/academic_policy_requirements_ph_d_program_hss_and_design_wef_2024_25_as_of_july_2024.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,True,academics/careers/careers_creche_supervisor_application_v2.md,OCR_NOISE | CHUNK_OVERFLOW,https://forms.gle/s97uCtJberHhaNBH6,web
high,False,academics/course_policy_ct474_satellite_technology_and_its_applications_deepak_ghodgaonkar.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_ct476_microwave_engineering_winter24_pankaj_kumar.md,FRONTMATTER_BROKEN,,web
high,False,academics/course_policy_ct502_adaptive_signal_processing_winter24_rajib_das.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,True,academics/course_policy_el203_embeddedhardwaredesign_winter26_-_tapas_kumar_maiti.md,OCR_NOISE | CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/EL203_EmbeddedHardwareDesign_Winter26 - Tapas Kumar Maiti.pdf,PDF
high,False,academics/course_policy_el469_vlsi_technology_winter24.md,FRONTMATTER_BROKEN,,web
high,False,academics/course_policy_el497_introduction_to_autonomous_vehicles_winter24_sujay_kadam.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_hm_327_culture_politics_identity_winter_24_madhumita_mazumdar_madhumita_mazumdar.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_hm_344_semiotics_winter_24_bharani_kollipara.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_ie404_digital_image_processing_winter24_manish_khare.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_it214_database_management_systems_winter24_pmj.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_it422_models_of_computation_winter24_rahul_muthu.md,FRONTMATTER_BROKEN,,web
high,False,academics/course_policy_it441_computergraphics_win2024_aditya_tatu.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_it492_recommendation_systems_winter24_arpit_rana.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_it495_exploratorydataanalysis_winter24_gopinath_panda.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_it558_is_win24_anish_mathuria.md,FRONTMATTER_BROKEN,,web
high,False,academics/course_policy_it583_deep_learning_winter24_bakul_gohel.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_it608_machinelearning_winter24_shruti_bhilare.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_it609_big_data_processing_winter24_sandip_modha.md,FRONTMATTER_BROKEN,,web
high,False,academics/course_policy_sc403_einstein_s_physics_winter24_arnab_kumar_ray.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_sc472_econometric_data_analysis_using_r_winter24_gaurav_kumar_singh.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_sc_602_numerical_methods_for_data_science_winter_24_nabin_sahu.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,False,academics/course_policy_scxxx_application_of_statistics_to_complex_systems_winter24_pratim_roy.md,FRONTMATTER_BROKEN,,web
high,True,achievements/research_dau_student_research_excellence_award.md,OCR_NOISE,https://www.daiict.ac.in/dau-student-research-excellence-award,web
high,True,administration/daiict_ac_in_nep_2020.md,OCR_NOISE,https://www.daiict.ac.in/nep-2020,web
high,True,administration/daiict_ac_in_sites_default_files_other_files_no_objection_certificate_visvesvary.md,OCR_NOISE,https://www.daiict.ac.in/sites/default/files/other-files/NO_OBJECTION_CERTIFICATE_Visvesvary-%20PhD-Fellowship.pdf,PDF
high,True,admissions/dual_degree_admissions/bs_ms_data_science_artificial_intelligence_admissions.md,OCR_NOISE,https://www.daiict.ac.in/bs-ms-data-science-artificial-intelligence-admissions,web
high,False,announcements/people_alumini_please_share_inetresting_pictures_and_news.md,FRONTMATTER_BROKEN,,web
high,False,events/acm_india_summer_school_2026_on_competitive_programming.md,FRONTMATTER_BROKEN,,web
high,False,events/conversation_with_mr_ajit_balakrishnan_ceo_rediff_com.md,FRONTMATTER_BROKEN,,web
high,False,infrastructure/campus_directions.md,FRONTMATTER_BROKEN | CHUNK_OVERFLOW,,web
high,True,student_services/dean_students_tab.md,OCR_NOISE | CHUNK_OVERFLOW,https://www.daiict.ac.in/dean-students#tab-2,web
medium,False,academics/14.Academic-Requirements_PhD_wef_2017-18_v2.md,CHUNK_OVERFLOW,https://daiict.ac.in/,web
medium,False,academics/Examination_Rules_for_Students_v2.md,HEADING_MISSING | CHUNK_OVERFLOW,https://daiict.ac.in/,web
medium,False,academics/Guidelines_of_Exams_Malpractices_v2.md,HEADING_MISSING | CHUNK_OVERFLOW,https://daiict.ac.in/,web
medium,False,academics/Parent-letter-2020_v2.md,HEADING_MISSING | CHUNK_OVERFLOW,https://daiict.ac.in/,web
medium,False,academics/Rules_and_Guidelines_for_Conducting_written_examination_for_Person_with_Benchmark_Disabilities_v2.md,HEADING_MISSING | CHUNK_OVERFLOW,https://daiict.ac.in/,web
medium,False,academics/about_us_v2.md,CHUNK_OVERFLOW,https://daiict.ac.in/about-us,web
medium,False,academics/academic_policy_academic_requirements_m_tech_ec_program_wef_2022-23.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Academic Requirements_M Tech_(EC)_Program_wef 2022-23.pdf,PDF
medium,False,academics/academic_policy_academic_requirements_m_tech_ict_program_wef_2022-23.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Academic Requirements_M Tech_(ICT)_Program_wef 2022-23.pdf,PDF
